year;month;day;hour;NO2;O3;SO2;NO;PM10;PM25
2016;1;1;0;1.52682784622364;54.4179705741499;0.723552829544866;0.00889409002684627;6.28563112670122;5.78039394127927
2016;1;1;1;1.45710817535428;53.5970947623809;0.838030818448608;0.00589867789467184;5.80826498008946;5.29248778136093
2016;1;1;2;1.31483606666489;52.8494332741047;0.693523642270357;0.00473999454780647;5.13360287612841;4.61682247987483
2016;1;1;3;1.21180821909862;52.1768654948573;0.670270333758463;0.00399232224066991;4.83442397225531;4.31960422986322
2016;1;1;4;1.15393715403089;51.6441893694264;0.682159727766118;0.00384057990020506;4.74361394608991;4.22800816579638
2016;1;1;5;1.15464117977872;51.418123092617;0.706966175741686;0.00416924132375259;4.93065233087009;4.41698810860203
2016;1;1;6;1.23716110651077;51.4319360434001;0.717851521574536;0.00533613756966819;5.4714326402916;4.96184915377285
2016;1;1;7;1.6220326547813;51.283944202396;0.711540138233702;0.0147926900536314;6.31344576618176;5.80001424665966
2016;1;1;8;2.38047949739647;52.5936236783764;0.749339948463947;0.0280208823206076;7.55345563874243;7.04087366187878
2016;1;1;9;3.15467940701631;57.2024703160423;1.26962431178707;0.117509778923235;8.44742675809584;7.96747201547987
2016;1;1;10;3.24453593373957;55.2326859803998;1.20093465688408;0.302961659638692;8.51397352619188;8.06467870262395
2016;1;1;11;2.44691817265041;58.3419073052482;0.979951956826682;0.328638093463473;7.67594787731696;7.28770466196238
2016;1;1;12;1.89643478316439;61.9816233893289;0.731513754109189;0.289473297784262;7.51429851675312;7.16391079791379
2016;1;1;13;1.63888161592834;64.1040927007452;0.686914922439196;0.329129837819984;7.58735740902239;7.23979898253901
2016;1;1;14;1.73520545711972;62.8122407420051;0.746120536246694;0.348271563984767;7.6393771308858;7.25938154033656
2016;1;1;15;2.23602313635299;59.3135567328318;0.771707815021342;0.324572663010675;8.91146179071711;8.45208969479927
2016;1;1;16;2.78058158609899;55.03619959768;0.69564221362939;0.315078006633403;9.92141657718548;9.42210487409056
2016;1;1;17;3.36887411954601;52.5425001285384;0.625748123114113;0.201641626643371;10.8446434055054;10.3302157938856
2016;1;1;18;3.74052690245231;46.1974778431795;0.562604501327438;0.0648726318923006;10.1436796740018;9.60107815473066
2016;1;1;19;4.26131745144264;49.0560445598476;0.786623583172461;0.0212244433894283;9.07014374718074;8.53869863703949
2016;1;1;20;4.32304118145759;52.7313268605667;0.981789375932437;0.0159880637753623;7.93109666830105;7.41136352289118
2016;1;1;21;3.95785507618019;55.5012462655213;1.07730233184926;0.0112923014316979;6.80070577629976;6.30767260645371
2016;1;1;22;3.36674792569999;56.1619444283679;1.13134908327409;0.00956393608497004;6.1849423360627;5.73536329540048
2016;1;1;23;2.61051325022433;57.958654764434;1.08640827163863;0.00792659234955568;5.55119372691593;5.16262632643816
2016;1;2;0;1.94026035943206;59.7766316445814;0.742595109035189;0.0049795637532332;4.72588279620823;4.37639613437568
2016;1;2;1;1.32996057336823;60.4760046485353;0.633476565413385;0.00261949625713214;4.18405088353779;3.8382905742651
2016;1;2;2;1.10121302346699;59.2318905034972;0.547842717982445;0.00237055532709127;4.14137080184673;3.71289465839197
2016;1;2;3;1.02346440224413;56.7135245432837;0.542918761591153;0.00257141283709353;4.57669324660515;3.98337984819364
2016;1;2;4;1.11998364693343;53.5253370514965;0.593478552686742;0.00336293395718005;5.16787324045254;4.41679004481443
2016;1;2;5;1.33096837141974;51.0716482438056;0.674874944660736;0.00416749254079707;5.77770142839995;4.86874585092778
2016;1;2;6;1.75317727193574;49.673186452992;0.880935387235247;0.0056213860241316;6.43990816229234;5.38850652986866
2016;1;2;7;2.73133502218699;48.6197322402404;1.25626997067995;0.0137272767533081;7.26681248508498;6.10968342584783
2016;1;2;8;3.75955098792475;48.2805972978895;1.38537757165945;0.0277060948996234;7.31115212815325;6.42148245688645
2016;1;2;9;4.33416548879649;50.3169417243043;1.36681198440724;0.153665629680461;6.83828238479123;6.16673734299411
2016;1;2;10;3.85879261410149;50.0408070536196;0.496201984039887;0.355554114828653;6.7057990271735;6.14204997972934
2016;1;2;11;3.39138489969903;50.3602741730447;0.205144625856275;0.485962094893002;5.80553427553809;5.40241273938591
2016;1;2;12;3.19234611127376;50.0720673812793;0.0317411907594957;0.569783379525007;5.36884536828097;5.05078689982952
2016;1;2;13;3.3613942307323;49.1538827418481;0.0198413810811675;0.648518368405574;4.8372190697421;4.58572468886587
2016;1;2;14;4.275337678954;49.6517849057909;0.0238764920393671;0.799544138295032;4.08750766567323;3.92787979919262
