year;month;day;hour;PM10
2016;1;1;0;74.083817126270276
2016;1;1;1;74.083817126270276
2016;1;1;2;74.083817126270276
2016;1;1;3;74.083817126270276
2016;1;1;4;74.083817126270276
2016;1;1;5;74.083817126270276
2016;1;1;6;74.083817126270276
2016;1;1;7;74.083817126270276
2016;1;1;8;74.083817126270276
2016;1;1;9;74.083817126270276
2016;1;1;10;74.083817126270276
2016;1;1;11;74.083817126270276
2016;1;1;12;74.083817126270276
2016;1;1;13;74.083817126270276
2016;1;1;14;74.083817126270276
2016;1;1;15;74.083817126270276
2016;1;1;16;74.083817126270276
2016;1;1;17;74.083817126270276
2016;1;1;18;74.083817126270276
2016;1;1;19;74.083817126270276
2016;1;1;20;74.083817126270276
2016;1;1;21;74.083817126270276
2016;1;1;22;74.083817126270276
2016;1;1;23;74.083817126270276
2016;1;10;0;66.255442670537306
2016;1;10;1;66.255442670537306
2016;1;10;2;66.255442670537306
2016;1;10;3;66.255442670537306
2016;1;10;4;66.255442670537306
2016;1;10;5;66.255442670537306
2016;1;10;6;66.255442670537306
2016;1;10;7;66.255442670537306
2016;1;10;8;66.255442670537306
2016;1;10;9;66.255442670537306
2016;1;10;10;66.255442670537306
2016;1;10;11;66.255442670537306
2016;1;10;12;66.255442670537306
2016;1;10;13;66.255442670537306
2016;1;10;14;66.255442670537306
2016;1;10;15;66.255442670537306
2016;1;10;16;66.255442670537306
2016;1;10;17;66.255442670537306
2016;1;10;18;66.255442670537306
2016;1;10;19;66.255442670537306
2016;1;10;20;66.255442670537306
2016;1;10;21;66.255442670537306
2016;1;10;22;66.255442670537306
2016;1;10;23;66.255442670537306
2016;1;11;0;11.057692307692038
2016;1;11;1;11.057692307692038
2016;1;11;2;11.057692307692038
2016;1;11;3;11.057692307692038
2016;1;11;4;11.057692307692038
2016;1;11;5;11.057692307692038
2016;1;11;6;11.057692307692038
2016;1;11;7;11.057692307692038
2016;1;11;8;11.057692307692038
2016;1;11;9;11.057692307692038
2016;1;11;10;11.057692307692038
2016;1;11;11;11.057692307692038
2016;1;11;12;11.057692307692038
2016;1;11;13;11.057692307692038
2016;1;11;14;11.057692307692038
2016;1;11;15;11.057692307692038
2016;1;11;16;11.057692307692038
2016;1;11;17;11.057692307692038
2016;1;11;18;11.057692307692038
2016;1;11;19;11.057692307692038
2016;1;11;20;11.057692307692038
2016;1;11;21;11.057692307692038
2016;1;11;22;11.057692307692038
2016;1;11;23;11.057692307692038
2016;1;12;0;46.816037735848795
2016;1;12;1;46.816037735848795
2016;1;12;2;46.816037735848795
2016;1;12;3;46.816037735848795
2016;1;12;4;46.816037735848795
2016;1;12;5;46.816037735848795
2016;1;12;6;46.816037735848795
2016;1;12;7;46.816037735848795
2016;1;12;8;46.816037735848795
2016;1;12;9;46.816037735848795
2016;1;12;10;46.816037735848795
2016;1;12;11;46.816037735848795
2016;1;12;12;46.816037735848795
2016;1;12;13;46.816037735848795
2016;1;12;14;46.816037735848795
2016;1;12;15;46.816037735848795
2016;1;12;16;46.816037735848795
2016;1;12;17;46.816037735848795
2016;1;12;18;46.816037735848795
2016;1;12;19;46.816037735848795
2016;1;12;20;46.816037735848795
2016;1;12;21;46.816037735848795
2016;1;12;22;46.816037735848795
2016;1;12;23;46.816037735848795
2016;1;13;0;76.478592162554122
2016;1;13;1;76.478592162554122
2016;1;13;2;76.478592162554122
2016;1;13;3;76.478592162554122
2016;1;13;4;76.478592162554122
2016;1;13;5;76.478592162554122
2016;1;13;6;76.478592162554122
2016;1;13;7;76.478592162554122
2016;1;13;8;76.478592162554122
2016;1;13;9;76.478592162554122
2016;1;13;10;76.478592162554122
2016;1;13;11;76.478592162554122
2016;1;13;12;76.478592162554122
2016;1;13;13;76.478592162554122
2016;1;13;14;76.478592162554122
2016;1;13;15;76.478592162554122
2016;1;13;16;76.478592162554122
2016;1;13;17;76.478592162554122
2016;1;13;18;76.478592162554122
2016;1;13;19;76.478592162554122
2016;1;13;20;76.478592162554122
2016;1;13;21;76.478592162554122
2016;1;13;22;76.478592162554122
2016;1;13;23;76.478592162554122
2016;1;14;0;55.007256894049483
2016;1;14;1;55.007256894049483
2016;1;14;2;55.007256894049483
2016;1;14;3;55.007256894049483
2016;1;14;4;55.007256894049483
2016;1;14;5;55.007256894049483
2016;1;14;6;55.007256894049483
2016;1;14;7;55.007256894049483
2016;1;14;8;55.007256894049483
2016;1;14;9;55.007256894049483
2016;1;14;10;55.007256894049483
2016;1;14;11;55.007256894049483
2016;1;14;12;55.007256894049483
2016;1;14;13;55.007256894049483
2016;1;14;14;55.007256894049483
2016;1;14;15;55.007256894049483
2016;1;14;16;55.007256894049483
2016;1;14;17;55.007256894049483
2016;1;14;18;55.007256894049483
2016;1;14;19;55.007256894049483
2016;1;14;20;55.007256894049483
2016;1;14;21;55.007256894049483
2016;1;14;22;55.007256894049483
2016;1;14;23;55.007256894049483
2016;1;15;0;30.959724238026123
2016;1;15;1;30.959724238026123
2016;1;15;2;30.959724238026123
2016;1;15;3;30.959724238026123
2016;1;15;4;30.959724238026123
2016;1;15;5;30.959724238026123
2016;1;15;6;30.959724238026123
2016;1;15;7;30.959724238026123
2016;1;15;8;30.959724238026123
2016;1;15;9;30.959724238026123
2016;1;15;10;30.959724238026123
2016;1;15;11;30.959724238026123
2016;1;15;12;30.959724238026123
2016;1;15;13;30.959724238026123
2016;1;15;14;30.959724238026123
2016;1;15;15;30.959724238026123
2016;1;15;16;30.959724238026123
2016;1;15;17;30.959724238026123
2016;1;15;18;30.959724238026123
2016;1;15;19;30.959724238026123
2016;1;15;20;30.959724238026123
2016;1;15;21;30.959724238026123
2016;1;15;22;30.959724238026123
2016;1;15;23;30.959724238026123
2016;1;16;0;28.933043004899268
2016;1;16;1;28.933043004899268
2016;1;16;2;28.933043004899268
2016;1;16;3;28.933043004899268
2016;1;16;4;28.933043004899268
2016;1;16;5;28.933043004899268
2016;1;16;6;28.933043004899268
2016;1;16;7;28.933043004899268
2016;1;16;8;28.933043004899268
2016;1;16;9;28.933043004899268
2016;1;16;10;28.933043004899268
2016;1;16;11;28.933043004899268
2016;1;16;12;28.933043004899268
2016;1;16;13;28.933043004899268
2016;1;16;14;28.933043004899268
2016;1;16;15;28.933043004899268
2016;1;16;16;28.933043004899268
2016;1;16;17;28.933043004899268
2016;1;16;18;28.933043004899268
2016;1;16;19;28.933043004899268
2016;1;16;20;28.933043004899268
2016;1;16;21;28.933043004899268
2016;1;16;22;28.933043004899268
2016;1;16;23;28.933043004899268
2016;1;17;0;30.179608127721057
2016;1;17;1;30.179608127721057
2016;1;17;2;30.179608127721057
2016;1;17;3;30.179608127721057
2016;1;17;4;30.179608127721057
2016;1;17;5;30.179608127721057
2016;1;17;6;30.179608127721057
2016;1;17;7;30.179608127721057
2016;1;17;8;30.179608127721057
2016;1;17;9;30.179608127721057
2016;1;17;10;30.179608127721057
2016;1;17;11;30.179608127721057
2016;1;17;12;30.179608127721057
2016;1;17;13;30.179608127721057
2016;1;17;14;30.179608127721057
2016;1;17;15;30.179608127721057
2016;1;17;16;30.179608127721057
