year;month;day;hour;PM10
2016;1;1;0;100.45849999999999
2016;1;1;1;100.45849999999999
2016;1;1;2;100.45849999999999
2016;1;1;3;100.45849999999999
2016;1;1;4;100.45849999999999
2016;1;1;5;100.45849999999999
2016;1;1;6;100.45849999999999
2016;1;1;7;100.45849999999999
2016;1;1;8;100.45849999999999
2016;1;1;9;100.45849999999999
2016;1;1;10;100.45849999999999
2016;1;1;11;100.45849999999999
2016;1;1;12;100.45849999999999
2016;1;1;13;100.45849999999999
2016;1;1;14;100.45849999999999
2016;1;1;15;100.45849999999999
2016;1;1;16;100.45849999999999
2016;1;1;17;100.45849999999999
2016;1;1;18;100.45849999999999
2016;1;1;19;100.45849999999999
2016;1;1;20;100.45849999999999
2016;1;1;21;100.45849999999999
2016;1;1;22;100.45849999999999
2016;1;1;23;100.45849999999999
2016;1;10;0;143.670625
2016;1;10;1;143.670625
2016;1;10;2;143.670625
2016;1;10;3;143.670625
2016;1;10;4;143.670625
2016;1;10;5;143.670625
2016;1;10;6;143.670625
2016;1;10;7;143.670625
2016;1;10;8;143.670625
2016;1;10;9;143.670625
2016;1;10;10;143.670625
2016;1;10;11;143.670625
2016;1;10;12;143.670625
2016;1;10;13;143.670625
2016;1;10;14;143.670625
2016;1;10;15;143.670625
2016;1;10;16;143.670625
2016;1;10;17;143.670625
2016;1;10;18;143.670625
2016;1;10;19;143.670625
2016;1;10;20;143.670625
2016;1;10;21;143.670625
2016;1;10;22;143.670625
2016;1;10;23;143.670625
2016;1;11;0;25.28725
2016;1;11;1;25.28725
2016;1;11;2;25.28725
2016;1;11;3;25.28725
2016;1;11;4;25.28725
2016;1;11;5;25.28725
2016;1;11;6;25.28725
2016;1;11;7;25.28725
2016;1;11;8;25.28725
2016;1;11;9;25.28725
2016;1;11;10;25.28725
2016;1;11;11;25.28725
2016;1;11;12;25.28725
2016;1;11;13;25.28725
2016;1;11;14;25.28725
2016;1;11;15;25.28725
2016;1;11;16;25.28725
2016;1;11;17;25.28725
2016;1;11;18;25.28725
2016;1;11;19;25.28725
2016;1;11;20;25.28725
2016;1;11;21;25.28725
2016;1;11;22;25.28725
2016;1;11;23;25.28725
2016;1;12;0;59.515124999999998
2016;1;12;1;59.515124999999998
2016;1;12;2;59.515124999999998
2016;1;12;3;59.515124999999998
2016;1;12;4;59.515124999999998
2016;1;12;5;59.515124999999998
2016;1;12;6;59.515124999999998
2016;1;12;7;59.515124999999998
2016;1;12;8;59.515124999999998
2016;1;12;9;59.515124999999998
2016;1;12;10;59.515124999999998
2016;1;12;11;59.515124999999998
2016;1;12;12;59.515124999999998
2016;1;12;13;59.515124999999998
2016;1;12;14;59.515124999999998
2016;1;12;15;59.515124999999998
2016;1;12;16;59.515124999999998
2016;1;12;17;59.515124999999998
2016;1;12;18;59.515124999999998
2016;1;12;19;59.515124999999998
2016;1;12;20;59.515124999999998
2016;1;12;21;59.515124999999998
2016;1;12;22;59.515124999999998
2016;1;12;23;59.515124999999998
2016;1;13;0;90.491124999999997
2016;1;13;1;90.491124999999997
2016;1;13;2;90.491124999999997
2016;1;13;3;90.491124999999997
2016;1;13;4;90.491124999999997
2016;1;13;5;90.491124999999997
2016;1;13;6;90.491124999999997
2016;1;13;7;90.491124999999997
2016;1;13;8;90.491124999999997
2016;1;13;9;90.491124999999997
2016;1;13;10;90.491124999999997
2016;1;13;11;90.491124999999997
2016;1;13;12;90.491124999999997
2016;1;13;13;90.491124999999997
2016;1;13;14;90.491124999999997
2016;1;13;15;90.491124999999997
2016;1;13;16;90.491124999999997
2016;1;13;17;90.491124999999997
2016;1;13;18;90.491124999999997
2016;1;13;19;90.491124999999997
2016;1;13;20;90.491124999999997
2016;1;13;21;90.491124999999997
2016;1;13;22;90.491124999999997
2016;1;13;23;90.491124999999997
2016;1;14;0;69.724499999999992
2016;1;14;1;69.724499999999992
2016;1;14;2;69.724499999999992
2016;1;14;3;69.724499999999992
2016;1;14;4;69.724499999999992
2016;1;14;5;69.724499999999992
2016;1;14;6;69.724499999999992
2016;1;14;7;69.724499999999992
2016;1;14;8;69.724499999999992
2016;1;14;9;69.724499999999992
2016;1;14;10;69.724499999999992
2016;1;14;11;69.724499999999992
2016;1;14;12;69.724499999999992
2016;1;14;13;69.724499999999992
2016;1;14;14;69.724499999999992
2016;1;14;15;69.724499999999992
2016;1;14;16;69.724499999999992
2016;1;14;17;69.724499999999992
2016;1;14;18;69.724499999999992
2016;1;14;19;69.724499999999992
2016;1;14;20;69.724499999999992
2016;1;14;21;69.724499999999992
2016;1;14;22;69.724499999999992
2016;1;14;23;69.724499999999992
2016;1;15;0;57.518625
2016;1;15;1;57.518625
2016;1;15;2;57.518625
2016;1;15;3;57.518625
2016;1;15;4;57.518625
2016;1;15;5;57.518625
2016;1;15;6;57.518625
2016;1;15;7;57.518625
2016;1;15;8;57.518625
2016;1;15;9;57.518625
2016;1;15;10;57.518625
2016;1;15;11;57.518625
2016;1;15;12;57.518625
2016;1;15;13;57.518625
2016;1;15;14;57.518625
2016;1;15;15;57.518625
2016;1;15;16;57.518625
2016;1;15;17;57.518625
2016;1;15;18;57.518625
2016;1;15;19;57.518625
2016;1;15;20;57.518625
2016;1;15;21;57.518625
2016;1;15;22;57.518625
2016;1;15;23;57.518625
2016;1;16;0;21.838750000000001
2016;1;16;1;21.838750000000001
2016;1;16;2;21.838750000000001
2016;1;16;3;21.838750000000001
2016;1;16;4;21.838750000000001
2016;1;16;5;21.838750000000001
2016;1;16;6;21.838750000000001
2016;1;16;7;21.838750000000001
2016;1;16;8;21.838750000000001
2016;1;16;9;21.838750000000001
2016;1;16;10;21.838750000000001
2016;1;16;11;21.838750000000001
2016;1;16;12;21.838750000000001
2016;1;16;13;21.838750000000001
2016;1;16;14;21.838750000000001
2016;1;16;15;21.838750000000001
2016;1;16;16;21.838750000000001
2016;1;16;17;21.838750000000001
2016;1;16;18;21.838750000000001
2016;1;16;19;21.838750000000001
2016;1;16;20;21.838750000000001
2016;1;16;21;21.838750000000001
2016;1;16;22;21.838750000000001
2016;1;16;23;21.838750000000001
2016;1;17;0;28.161000000000001
2016;1;17;1;28.161000000000001
2016;1;17;2;28.161000000000001
2016;1;17;3;28.161000000000001
2016;1;17;4;28.161000000000001
2016;1;17;5;28.161000000000001
2016;1;17;6;28.161000000000001
2016;1;17;7;28.161000000000001
2016;1;17;8;28.161000000000001
2016;1;17;9;28.161000000000001
2016;1;17;10;28.161000000000001
2016;1;17;11;28.161000000000001
2016;1;17;12;28.161000000000001
2016;1;17;13;28.161000000000001
2016;1;17;14;28.161000000000001
2016;1;17;15;28.161000000000001
2016;1;17;16;28.161000000000001
2016;1;17;17;28.161000000000001
2016;1;17;18;28.161000000000001
2016;1;17;19;28.161000000000001
2016;1;17;20;28.161000000000001
2016;1;17;21;28.161000000000001
2016;1;17;22;28.161000000000001
2016;1;17;23;28.161000000000001
2016;1;18;0;75.093874999999983
2016;1;18;1;75.093874999999983
2016;1;18;2;75.093874999999983
2016;1;18;3;75.093874999999983
2016;1;18;4;75.093874999999983
2016;1;18;5;75.093874999999983
2016;1;18;6;75.093874999999983
2016;1;18;7;75.093874999999983
2016;1;18;8;75.093874999999983
2016;1;18;9;75.093874999999983
2016;1;18;10;75.093874999999983
2016;1;18;11;75.093874999999983
2016;1;18;12;75.093874999999983
2016;1;18;13;75.093874999999983
2016;1;18;14;75.093874999999983
2016;1;18;15;75.093874999999983
2016;1;18;16;75.093874999999983
2016;1;18;17;75.093874999999983
2016;1;18;18;75.093874999999983
2016;1;18;19;75.093874999999983
2016;1;18;20;75.093874999999983
2016;1;18;21;75.093874999999983
2016;1;18;22;75.093874999999983
2016;1;18;23;75.093874999999983
2016;1;19;0;92.533000000000001
2016;1;19;1;92.533000000000001
2016;1;19;2;92.533000000000001
2016;1;19;3;92.533000000000001
2016;1;19;4;92.533000000000001
2016;1;19;5;92.533000000000001
2016;1;19;6;92.533000000000001
2016;1;19;7;92.533000000000001
2016;1;19;8;92.533000000000001
2016;1;19;9;92.533000000000001
2016;1;19;10;92.533000000000001
2016;1;19;11;92.533000000000001
2016;1;19;12;92.533000000000001
2016;1;19;13;92.533000000000001
2016;1;19;14;92.533000000000001
2016;1;19;15;92.533000000000001
2016;1;19;16;92.533000000000001
2016;1;19;17;92.533000000000001
2016;1;19;18;92.533000000000001
2016;1;19;19;92.533000000000001
2016;1;19;20;92.533000000000001
2016;1;19;21;92.533000000000001
2016;1;19;22;92.533000000000001
2016;1;19;23;92.533000000000001
2016;1;2;0;61.935124999999999
2016;1;2;1;61.935124999999999
2016;1;2;2;61.935124999999999
2016;1;2;3;61.935124999999999
2016;1;2;4;61.935124999999999
2016;1;2;5;61.935124999999999
2016;1;2;6;61.935124999999999
2016;1;2;7;61.935124999999999
2016;1;2;8;61.935124999999999
2016;1;2;9;61.935124999999999
2016;1;2;10;61.935124999999999
2016;1;2;11;61.935124999999999
2016;1;2;12;61.935124999999999
2016;1;2;13;61.935124999999999
2016;1;2;14;61.935124999999999
2016;1;2;15;61.935124999999999
2016;1;2;16;61.935124999999999
2016;1;2;17;61.935124999999999
2016;1;2;18;61.935124999999999
2016;1;2;19;61.935124999999999
2016;1;2;20;61.935124999999999
2016;1;2;21;61.935124999999999
2016;1;2;22;61.935124999999999
2016;1;2;23;61.935124999999999
2016;1;20;0;113.32987499999999
2016;1;20;1;113.32987499999999
2016;1;20;2;113.32987499999999
2016;1;20;3;113.32987499999999
2016;1;20;4;113.32987499999999
2016;1;20;5;113.32987499999999
2016;1;20;6;113.32987499999999
2016;1;20;7;113.32987499999999
2016;1;20;8;113.32987499999999
2016;1;20;9;113.32987499999999
2016;1;20;10;113.32987499999999
2016;1;20;11;113.32987499999999
2016;1;20;12;113.32987499999999
2016;1;20;13;113.32987499999999
2016;1;20;14;113.32987499999999
2016;1;20;15;113.32987499999999
2016;1;20;16;113.32987499999999
2016;1;20;17;113.32987499999999
2016;1;20;18;113.32987499999999
2016;1;20;19;113.32987499999999
2016;1;20;20;113.32987499999999
2016;1;20;21;113.32987499999999
2016;1;20;22;113.32987499999999
2016;1;20;23;113.32987499999999
2016;1;21;0;42.817125000000004
2016;1;21;1;42.817125000000004
2016;1;21;2;42.817125000000004
2016;1;21;3;42.817125000000004
2016;1;21;4;42.817125000000004
2016;1;21;5;42.817125000000004
2016;1;21;6;42.817125000000004
2016;1;21;7;42.817125000000004
2016;1;21;8;42.817125000000004
2016;1;21;9;42.817125000000004
2016;1;21;10;42.817125000000004
2016;1;21;11;42.817125000000004
2016;1;21;12;42.817125000000004
2016;1;21;13;42.817125000000004
2016;1;21;14;42.817125000000004
2016;1;21;15;42.817125000000004
2016;1;21;16;42.817125000000004
2016;1;21;17;42.817125000000004
2016;1;21;18;42.817125000000004
2016;1;21;19;42.817125000000004
2016;1;21;20;42.817125000000004
2016;1;21;21;42.817125000000004
2016;1;21;22;42.817125000000004
2016;1;21;23;42.817125000000004
2016;1;22;0;64.748374999999996
2016;1;22;1;64.748374999999996
2016;1;22;2;64.748374999999996
2016;1;22;3;64.748374999999996
2016;1;22;4;64.748374999999996
2016;1;22;5;64.748374999999996
2016;1;22;6;64.748374999999996
2016;1;22;7;64.748374999999996
2016;1;22;8;64.748374999999996
2016;1;22;9;64.748374999999996
2016;1;22;10;64.748374999999996
2016;1;22;11;64.748374999999996
2016;1;22;12;64.748374999999996
2016;1;22;13;64.748374999999996
2016;1;22;14;64.748374999999996
2016;1;22;15;64.748374999999996
2016;1;22;16;64.748374999999996
2016;1;22;17;64.748374999999996
2016;1;22;18;64.748374999999996
2016;1;22;19;64.748374999999996
2016;1;22;20;64.748374999999996
2016;1;22;21;64.748374999999996
2016;1;22;22;64.748374999999996
2016;1;22;23;64.748374999999996
2016;1;23;0;125.944125
2016;1;23;1;125.944125
2016;1;23;2;125.944125
2016;1;23;3;125.944125
2016;1;23;4;125.944125
2016;1;23;5;125.944125
2016;1;23;6;125.944125
2016;1;23;7;125.944125
2016;1;23;8;125.944125
2016;1;23;9;125.944125
2016;1;23;10;125.944125
2016;1;23;11;125.944125
2016;1;23;12;125.944125
2016;1;23;13;125.944125
2016;1;23;14;125.944125
2016;1;23;15;125.944125
2016;1;23;16;125.944125
2016;1;23;17;125.944125
2016;1;23;18;125.944125
2016;1;23;19;125.944125
2016;1;23;20;125.944125
2016;1;23;21;125.944125
2016;1;23;22;125.944125
2016;1;23;23;125.944125
2016;1;24;0;177.157375
2016;1;24;1;177.157375
2016;1;24;2;177.157375
2016;1;24;3;177.157375
2016;1;24;4;177.157375
2016;1;24;5;177.157375
2016;1;24;6;177.157375
2016;1;24;7;177.157375
2016;1;24;8;177.157375
2016;1;24;9;177.157375
2016;1;24;10;177.157375
2016;1;24;11;177.157375
2016;1;24;12;177.157375
2016;1;24;13;177.157375
2016;1;24;14;177.157375
2016;1;24;15;177.157375
2016;1;24;16;177.157375
2016;1;24;17;177.157375
2016;1;24;18;177.157375
2016;1;24;19;177.157375
2016;1;24;20;177.157375
2016;1;24;21;177.157375
2016;1;24;22;177.157375
2016;1;24;23;177.157375
2016;1;25;0;143.38325
2016;1;25;1;143.38325
2016;1;25;2;143.38325
2016;1;25;3;143.38325
2016;1;25;4;143.38325
2016;1;25;5;143.38325
2016;1;25;6;143.38325
2016;1;25;7;143.38325
2016;1;25;8;143.38325
2016;1;25;9;143.38325
2016;1;25;10;143.38325
2016;1;25;11;143.38325
2016;1;25;12;143.38325
2016;1;25;13;143.38325
2016;1;25;14;143.38325
2016;1;25;15;143.38325
2016;1;25;16;143.38325
2016;1;25;17;143.38325
2016;1;25;18;143.38325
2016;1;25;19;143.38325
2016;1;25;20;143.38325
2016;1;25;21;143.38325
2016;1;25;22;143.38325
2016;1;25;23;143.38325
2016;1;26;0;116.43049999999999
2016;1;26;1;116.43049999999999
2016;1;26;2;116.43049999999999
2016;1;26;3;116.43049999999999
2016;1;26;4;116.43049999999999
2016;1;26;5;116.43049999999999
2016;1;26;6;116.43049999999999
2016;1;26;7;116.43049999999999
2016;1;26;8;116.43049999999999
2016;1;26;9;116.43049999999999
2016;1;26;10;116.43049999999999
2016;1;26;11;116.43049999999999
2016;1;26;12;116.43049999999999
2016;1;26;13;116.43049999999999
2016;1;26;14;116.43049999999999
2016;1;26;15;116.43049999999999
2016;1;26;16;116.43049999999999
2016;1;26;17;116.43049999999999
2016;1;26;18;116.43049999999999
2016;1;26;19;116.43049999999999
2016;1;26;20;116.43049999999999
2016;1;26;21;116.43049999999999
2016;1;26;22;116.43049999999999
2016;1;26;23;116.43049999999999
2016;1;27;0;37.780499999999996
2016;1;27;1;37.780499999999996
2016;1;27;2;37.780499999999996
2016;1;27;3;37.780499999999996
2016;1;27;4;37.780499999999996
2016;1;27;5;37.780499999999996
2016;1;27;6;37.780499999999996
2016;1;27;7;37.780499999999996
2016;1;27;8;37.780499999999996
2016;1;27;9;37.780499999999996
2016;1;27;10;37.780499999999996
2016;1;27;11;37.780499999999996
2016;1;27;12;37.780499999999996
2016;1;27;13;37.780499999999996
2016;1;27;14;37.780499999999996
2016;1;27;15;37.780499999999996
2016;1;27;16;37.780499999999996
2016;1;27;17;37.780499999999996
2016;1;27;18;37.780499999999996
2016;1;27;19;37.780499999999996
2016;1;27;20;37.780499999999996
2016;1;27;21;37.780499999999996
2016;1;27;22;37.780499999999996
2016;1;27;23;37.780499999999996
2016;1;28;0;49.593125000000001
2016;1;28;1;49.593125000000001
2016;1;28;2;49.593125000000001
2016;1;28;3;49.593125000000001
2016;1;28;4;49.593125000000001
2016;1;28;5;49.593125000000001
2016;1;28;6;49.593125000000001
2016;1;28;7;49.593125000000001
2016;1;28;8;49.593125000000001
2016;1;28;9;49.593125000000001
2016;1;28;10;49.593125000000001
2016;1;28;11;49.593125000000001
2016;1;28;12;49.593125000000001
2016;1;28;13;49.593125000000001
2016;1;28;14;49.593125000000001
2016;1;28;15;49.593125000000001
2016;1;28;16;49.593125000000001
2016;1;28;17;49.593125000000001
2016;1;28;18;49.593125000000001
2016;1;28;19;49.593125000000001
2016;1;28;20;49.593125000000001
2016;1;28;21;49.593125000000001
2016;1;28;22;49.593125000000001
2016;1;28;23;49.593125000000001
2016;1;29;0;96.178125000000009
2016;1;29;1;96.178125000000009
2016;1;29;2;96.178125000000009
2016;1;29;3;96.178125000000009
2016;1;29;4;96.178125000000009
2016;1;29;5;96.178125000000009
2016;1;29;6;96.178125000000009
2016;1;29;7;96.178125000000009
2016;1;29;8;96.178125000000009
2016;1;29;9;96.178125000000009
2016;1;29;10;96.178125000000009
2016;1;29;11;96.178125000000009
2016;1;29;12;96.178125000000009
2016;1;29;13;96.178125000000009
2016;1;29;14;96.178125000000009
2016;1;29;15;96.178125000000009
2016;1;29;16;96.178125000000009
2016;1;29;17;96.178125000000009
2016;1;29;18;96.178125000000009
2016;1;29;19;96.178125000000009
2016;1;29;20;96.178125000000009
2016;1;29;21;96.178125000000009
2016;1;29;22;96.178125000000009
2016;1;29;23;96.178125000000009
2016;1;3;0;53.903749999999995
2016;1;3;1;53.903749999999995
2016;1;3;2;53.903749999999995
2016;1;3;3;53.903749999999995
2016;1;3;4;53.903749999999995
2016;1;3;5;53.903749999999995
2016;1;3;6;53.903749999999995
2016;1;3;7;53.903749999999995
2016;1;3;8;53.903749999999995
2016;1;3;9;53.903749999999995
2016;1;3;10;53.903749999999995
2016;1;3;11;53.903749999999995
2016;1;3;12;53.903749999999995
2016;1;3;13;53.903749999999995
2016;1;3;14;53.903749999999995
2016;1;3;15;53.903749999999995
2016;1;3;16;53.903749999999995
2016;1;3;17;53.903749999999995
2016;1;3;18;53.903749999999995
2016;1;3;19;53.903749999999995
2016;1;3;20;53.903749999999995
2016;1;3;21;53.903749999999995
2016;1;3;22;53.903749999999995
2016;1;3;23;53.903749999999995
2016;1;30;0;23.396625
2016;1;30;1;23.396625
2016;1;30;2;23.396625
2016;1;30;3;23.396625
2016;1;30;4;23.396625
2016;1;30;5;23.396625
2016;1;30;6;23.396625
2016;1;30;7;23.396625
2016;1;30;8;23.396625
2016;1;30;9;23.396625
2016;1;30;10;23.396625
2016;1;30;11;23.396625
2016;1;30;12;23.396625
2016;1;30;13;23.396625
2016;1;30;14;23.396625
2016;1;30;15;23.396625
2016;1;30;16;23.396625
2016;1;30;17;23.396625
2016;1;30;18;23.396625
2016;1;30;19;23.396625
2016;1;30;20;23.396625
2016;1;30;21;23.396625
2016;1;30;22;23.396625
2016;1;30;23;23.396625
2016;1;31;0;28.00975
2016;1;31;1;28.00975
2016;1;31;2;28.00975
2016;1;31;3;28.00975
2016;1;31;4;28.00975
2016;1;31;5;28.00975
2016;1;31;6;28.00975
2016;1;31;7;28.00975
2016;1;31;8;28.00975
2016;1;31;9;28.00975
2016;1;31;10;28.00975
2016;1;31;11;28.00975
2016;1;31;12;28.00975
2016;1;31;13;28.00975
2016;1;31;14;28.00975
2016;1;31;15;28.00975
2016;1;31;16;28.00975
2016;1;31;17;28.00975
2016;1;31;18;28.00975
2016;1;31;19;28.00975
2016;1;31;20;28.00975
2016;1;31;21;28.00975
2016;1;31;22;28.00975
2016;1;31;23;28.00975
2016;1;4;0;75.214875000000006
2016;1;4;1;75.214875000000006
2016;1;4;2;75.214875000000006
2016;1;4;3;75.214875000000006
2016;1;4;4;75.214875000000006
2016;1;4;5;75.214875000000006
2016;1;4;6;75.214875000000006
2016;1;4;7;75.214875000000006
2016;1;4;8;75.214875000000006
2016;1;4;9;75.214875000000006
2016;1;4;10;75.214875000000006
2016;1;4;11;75.214875000000006
2016;1;4;12;75.214875000000006
2016;1;4;13;75.214875000000006
2016;1;4;14;75.214875000000006
2016;1;4;15;75.214875000000006
2016;1;4;16;75.214875000000006
2016;1;4;17;75.214875000000006
2016;1;4;18;75.214875000000006
2016;1;4;19;75.214875000000006
2016;1;4;20;75.214875000000006
2016;1;4;21;75.214875000000006
2016;1;4;22;75.214875000000006
2016;1;4;23;75.214875000000006
2016;1;5;0;92.321250000000006
2016;1;5;1;92.321250000000006
2016;1;5;2;92.321250000000006
2016;1;5;3;92.321250000000006
2016;1;5;4;92.321250000000006
2016;1;5;5;92.321250000000006
2016;1;5;6;92.321250000000006
2016;1;5;7;92.321250000000006
2016;1;5;8;92.321250000000006
2016;1;5;9;92.321250000000006
2016;1;5;10;92.321250000000006
2016;1;5;11;92.321250000000006
2016;1;5;12;92.321250000000006
2016;1;5;13;92.321250000000006
2016;1;5;14;92.321250000000006
2016;1;5;15;92.321250000000006
2016;1;5;16;92.321250000000006
2016;1;5;17;92.321250000000006
2016;1;5;18;92.321250000000006
2016;1;5;19;92.321250000000006
2016;1;5;20;92.321250000000006
2016;1;5;21;92.321250000000006
2016;1;5;22;92.321250000000006
2016;1;5;23;92.321250000000006
2016;1;6;0;60.165499999999994
2016;1;6;1;60.165499999999994
2016;1;6;2;60.165499999999994
2016;1;6;3;60.165499999999994
2016;1;6;4;60.165499999999994
2016;1;6;5;60.165499999999994
2016;1;6;6;60.165499999999994
2016;1;6;7;60.165499999999994
2016;1;6;8;60.165499999999994
2016;1;6;9;60.165499999999994
2016;1;6;10;60.165499999999994
2016;1;6;11;60.165499999999994
2016;1;6;12;60.165499999999994
2016;1;6;13;60.165499999999994
2016;1;6;14;60.165499999999994
2016;1;6;15;60.165499999999994
2016;1;6;16;60.165499999999994
2016;1;6;17;60.165499999999994
2016;1;6;18;60.165499999999994
2016;1;6;19;60.165499999999994
2016;1;6;20;60.165499999999994
2016;1;6;21;60.165499999999994
2016;1;6;22;60.165499999999994
2016;1;6;23;60.165499999999994
2016;1;7;0;100.73074999999999
2016;1;7;1;100.73074999999999
2016;1;7;2;100.73074999999999
2016;1;7;3;100.73074999999999
2016;1;7;4;100.73074999999999
2016;1;7;5;100.73074999999999
2016;1;7;6;100.73074999999999
2016;1;7;7;100.73074999999999
2016;1;7;8;100.73074999999999
2016;1;7;9;100.73074999999999
2016;1;7;10;100.73074999999999
2016;1;7;11;100.73074999999999
2016;1;7;12;100.73074999999999
2016;1;7;13;100.73074999999999
2016;1;7;14;100.73074999999999
2016;1;7;15;100.73074999999999
2016;1;7;16;100.73074999999999
2016;1;7;17;100.73074999999999
2016;1;7;18;100.73074999999999
2016;1;7;19;100.73074999999999
2016;1;7;20;100.73074999999999
2016;1;7;21;100.73074999999999
2016;1;7;22;100.73074999999999
2016;1;7;23;100.73074999999999
2016;1;8;0;189.62037500000002
2016;1;8;1;189.62037500000002
2016;1;8;2;189.62037500000002
2016;1;8;3;189.62037500000002
2016;1;8;4;189.62037500000002
2016;1;8;5;189.62037500000002
2016;1;8;6;189.62037500000002
2016;1;8;7;189.62037500000002
2016;1;8;8;189.62037500000002
2016;1;8;9;189.62037500000002
2016;1;8;10;189.62037500000002
2016;1;8;11;189.62037500000002
2016;1;8;12;189.62037500000002
2016;1;8;13;189.62037500000002
2016;1;8;14;189.62037500000002
2016;1;8;15;189.62037500000002
2016;1;8;16;189.62037500000002
2016;1;8;17;189.62037500000002
2016;1;8;18;189.62037500000002
2016;1;8;19;189.62037500000002
2016;1;8;20;189.62037500000002
2016;1;8;21;189.62037500000002
2016;1;8;22;189.62037500000002
2016;1;8;23;189.62037500000002
2016;1;9;0;236.64400000000003
2016;1;9;1;236.64400000000003
2016;1;9;2;236.64400000000003
2016;1;9;3;236.64400000000003
2016;1;9;4;236.64400000000003
2016;1;9;5;236.64400000000003
2016;1;9;6;236.64400000000003
2016;1;9;7;236.64400000000003
2016;1;9;8;236.64400000000003
2016;1;9;9;236.64400000000003
2016;1;9;10;236.64400000000003
2016;1;9;11;236.64400000000003
2016;1;9;12;236.64400000000003
2016;1;9;13;236.64400000000003
2016;1;9;14;236.64400000000003
2016;1;9;15;236.64400000000003
2016;1;9;16;236.64400000000003
2016;1;9;17;236.64400000000003
2016;1;9;18;236.64400000000003
2016;1;9;19;236.64400000000003
2016;1;9;20;236.64400000000003
2016;1;9;21;236.64400000000003
2016;1;9;22;236.64400000000003
2016;1;9;23;236.64400000000003
2016;10;1;0;17.270361111111111
2016;10;1;1;17.270361111111111
2016;10;1;2;17.270361111111111
2016;10;1;3;17.270361111111111
2016;10;1;4;17.270361111111111
2016;10;1;5;17.270361111111111
2016;10;1;6;17.270361111111111
2016;10;1;7;17.270361111111111
