year;month;day;hour;NO2;NOx;O3;PM10;SO2;NO
2016;1;1;0;39.88;63.7652;5.3;130.57904;3.55;-999
2016;1;1;1;40.619292646672;69.7614232;-999;192.15848;2.97589;19.0064
2016;1;1;2;29.5893769456295;45.0960496;5.91964103260869;176.4758;-999;10.1134
2016;1;1;3;29.0305953289495;42.6171416;6.38240074275362;107.34284;1.77998;8.8611
2016;1;1;4;29.8678345231756;43.3853832;6.5216691847826;99.5366;1.6215;8.8161
2016;1;1;5;-999;-999;15.6668130797101;75.44396;2.99768;-999
2016;1;1;6;26.606603740818;34.9813784;17.1192520380434;80.00696;2.88537;5.462
2016;1;1;7;29.6597940503609;36.4373664;15.6850915760869;82.64648;2.1391;4.42031
2016;1;1;8;26.5086697821973;33.4659272;15.4295731521739;90.2;2.06853;4.5375
2016;1;1;9;19.1062170405774;24.5240768;18.6600672463768;80.24564;2.47492;3.53351
2016;1;1;10;27.8561156734563;36.1907184;18.3004358967391;87.1112;2.54549;5.4358
2016;1;1;11;22.5514581202887;31.636908;20.4850101449275;82.64648;2.87023;5.9255
2016;1;1;12;24.0963576468324;34.0248048;20.6917759963768;79.79636;2.7738;6.4753
2016;1;1;13;19.9697786636728;30.3862688;24.0091273913043;68.66264;3.151;6.7936
2016;1;1;14;34.3399154328789;48.9772184;23.8909262590579;70.64228;3.48165;9.5464
2016;1;1;15;26.7229405844427;38.6782304;30.1298891485507;80.94764;4.20945;7.7972
2016;1;1;16;27.4245995060144;39.111872;29.7499782336956;82.37972;4.13997;7.6224
2016;1;1;17;47.4713765716119;76.0989384;15.4159782608695;100.26668;3.0712;18.6708
2016;1;1;18;69.9562544667201;121.03916;8.5633061865942;91.30916;3.09004;33.3161
2016;1;1;19;62.7893363592622;126.16332;5.42719157608695;137.40248;2.84141;41.3323
2016;1;1;20;43.8030906489174;68.1920536;7.6757942481884;103.98728;1.95954;15.9064
2016;1;1;21;36.9809662460305;57.1290304;7.2608443115942;111.27404;1.7508;13.1405
2016;1;1;22;32.7947463557337;49.0913648;6.61411861413043;140.21048;1.6141;10.6286
