year;month;day;hour;PM25
2016;1;1;0;18.940493468795161
2016;1;1;1;18.940493468795161
2016;1;1;2;18.940493468795161
2016;1;1;3;18.940493468795161
2016;1;1;4;18.940493468795161
2016;1;1;5;18.940493468795161
2016;1;1;6;18.940493468795161
2016;1;1;7;18.940493468795161
2016;1;1;8;18.940493468795161
2016;1;1;9;18.940493468795161
2016;1;1;10;18.940493468795161
2016;1;1;11;18.940493468795161
2016;1;1;12;18.940493468795161
2016;1;1;13;18.940493468795161
2016;1;1;14;18.940493468795161
2016;1;1;15;18.940493468795161
2016;1;1;16;18.940493468795161
2016;1;1;17;18.940493468795161
2016;1;1;18;18.940493468795161
2016;1;1;19;18.940493468795161
2016;1;1;20;18.940493468795161
2016;1;1;21;18.940493468795161
2016;1;1;22;18.940493468795161
2016;1;1;23;18.940493468795161
2016;1;10;0;14.600725952812809
2016;1;10;1;14.600725952812809
2016;1;10;2;14.600725952812809
2016;1;10;3;14.600725952812809
2016;1;10;4;14.600725952812809
2016;1;10;5;14.600725952812809
2016;1;10;6;14.600725952812809
2016;1;10;7;14.600725952812809
2016;1;10;8;14.600725952812809
2016;1;10;9;14.600725952812809
2016;1;10;10;14.600725952812809
2016;1;10;11;14.600725952812809
2016;1;10;12;14.600725952812809
2016;1;10;13;14.600725952812809
2016;1;10;14;14.600725952812809
2016;1;10;15;14.600725952812809
2016;1;10;16;14.600725952812809
2016;1;10;17;14.600725952812809
2016;1;10;18;14.600725952812809
2016;1;10;19;14.600725952812809
2016;1;10;20;14.600725952812809
2016;1;10;21;14.600725952812809
2016;1;10;22;14.600725952812809
2016;1;10;23;14.600725952812809
2016;1;11;0;9.6335268505080496
2016;1;11;1;9.6335268505080496
2016;1;11;2;9.6335268505080496
2016;1;11;3;9.6335268505080496
2016;1;11;4;9.6335268505080496
2016;1;11;5;9.6335268505080496
2016;1;11;6;9.6335268505080496
2016;1;11;7;9.6335268505080496
2016;1;11;8;9.6335268505080496
2016;1;11;9;9.6335268505080496
2016;1;11;10;9.6335268505080496
2016;1;11;11;9.6335268505080496
2016;1;11;12;9.6335268505080496
2016;1;11;13;9.6335268505080496
