year;month;day;hour;PM10;PM25
2016;1;1;0;68.918918918919118;66.300798258345282
2016;1;1;1;68.918918918919118;66.300798258345282
2016;1;1;2;68.918918918919118;66.300798258345282
2016;1;1;3;68.918918918919118;66.300798258345282
2016;1;1;4;68.918918918919118;66.300798258345282
2016;1;1;5;68.918918918919118;66.300798258345282
2016;1;1;6;68.918918918919118;66.300798258345282
2016;1;1;7;68.918918918919118;66.300798258345282
2016;1;1;8;68.918918918919118;66.300798258345282
2016;1;1;9;68.918918918919118;66.300798258345282
2016;1;1;10;68.918918918919118;66.300798258345282
2016;1;1;11;68.918918918919118;66.300798258345282
2016;1;1;12;68.918918918919118;66.300798258345282
2016;1;1;13;68.918918918919118;66.300798258345282
2016;1;1;14;68.918918918919118;66.300798258345282
2016;1;1;15;68.918918918919118;66.300798258345282
2016;1;1;16;68.918918918919118;66.300798258345282
2016;1;1;17;68.918918918919118;66.300798258345282
2016;1;1;18;68.918918918919118;66.300798258345282
2016;1;1;19;68.918918918919118;66.300798258345282
2016;1;1;20;68.918918918919118;66.300798258345282
2016;1;1;21;68.918918918919118;66.300798258345282
2016;1;1;22;68.918918918919118;66.300798258345282
2016;1;1;23;68.918918918919118;66.300798258345282
2016;1;10;0;246.6987121349535;242.90638606676316
2016;1;10;1;246.6987121349535;242.90638606676316
2016;1;10;2;246.6987121349535;242.90638606676316
2016;1;10;3;246.6987121349535;242.90638606676316
2016;1;10;4;246.6987121349535;242.90638606676316
2016;1;10;5;246.6987121349535;242.90638606676316
2016;1;10;6;246.6987121349535;242.90638606676316
2016;1;10;7;246.6987121349535;242.90638606676316
2016;1;10;8;246.6987121349535;242.90638606676316
2016;1;10;9;246.6987121349535;242.90638606676316
2016;1;10;10;246.6987121349535;242.90638606676316
2016;1;10;11;246.6987121349535;242.90638606676316
2016;1;10;12;246.6987121349535;242.90638606676316
2016;1;10;13;246.6987121349535;242.90638606676316
2016;1;10;14;246.6987121349535;242.90638606676316
2016;1;10;15;246.6987121349535;242.90638606676316
2016;1;10;16;246.6987121349535;242.90638606676316
2016;1;10;17;246.6987121349535;242.90638606676316
2016;1;10;18;246.6987121349535;242.90638606676316
2016;1;10;19;246.6987121349535;242.90638606676316
2016;1;10;20;246.6987121349535;242.90638606676316
