year;month;day;hour;PM10;PM25
2016;1;1;0;12.9752136181831;10.7125870426178
2016;1;1;1;16.4609760095596;13.9370520309448
2016;1;1;2;15.465199092865;13.1085359916687
2016;1;1;3;15.2380480491638;12.7954439815521
2016;1;1;4;15.215135951519;12.7336679660797
2016;1;1;5;16.5250579911232;13.8840119625092
2016;1;1;6;16.2757110198021;13.5615600505829
2016;1;1;7;15.6511799965858;12.7375679958343
2016;1;1;8;14.6090420771599;12.0726959976196
2016;1;1;9;14.3648860198021;12.1566239398956
2016;1;1;10;15.7650240245819;13.2550199821472
2016;1;1;11;12.5736329569817;10.4100480583191
2016;1;1;12;10.1617870293617;8.27862001190186
2016;1;1;13;11.2228989904404;9.08373605117798
2016;1;1;14;12.8356889972687;10.4613719982147
2016;1;1;15;13.211410044384;10.8666601100922
2016;1;1;16;13.1777579911232;10.7137800178528
2016;1;1;17;13.6154130559921;11.2192199821472
2016;1;1;18;14.459756040287;11.7848759708405
2016;1;1;19;14.9362539016724;12.2469480434418
2016;1;1;20;15.8022559549332;12.9849840053558
2016;1;1;21;16.9109820157051;13.7952479541779
2016;1;1;22;17.363493959713;14.3791560482025
2016;1;1;23;18.5431040382385;15.3256079303741
2016;1;2;0;17.7769840348244;14.5527840499878
2016;1;2;1;17.6908849761009;14.6615159946442
2016;1;2;2;18.3886270874023;15.1352880523682
2016;1;2;3;19.9808320157051;16.432272057724
2016;1;2;4;17.5267419747353;14.5373399940491
2016;1;2;5;15.4057710300446;12.894972013092
2016;1;2;6;15.5786849590302;13.2845039726257
2016;1;2;7;15.8663380218506;13.6075799732208
2016;1;2;8;15.9338209617615;13.6345680553436
2016;1;2;9;15.4140049795151;13.2342720279694
2016;1;2;10;16.4207010437012;13.9897800029755
2016;1;2;11;16.8742869440079;14.3760359619141
2016;1;2;12;18.1212009754181;15.4472879928589
2016;1;2;13;15.4822039699554;13.2483120220184
2016;1;2;14;15.5869188914299;12.2999881118774
2016;1;2;15;9.13719101638794;7.67864397411346
2016;1;2;16;8.6998939511776;7.33497601547241
2016;1;2;17;9.46959401092529;7.79221201457977
2016;1;2;18;9.02370495390892;7.62685197143555
2016;1;2;19;9.25157200546265;7.8318359916687
2016;1;2;20;8.7833079911232;7.40751598720551
2016;1;2;21;6.73680099675655;5.36438401372433
2016;1;2;22;1.46918899886906;1.04864400340319
2016;1;2;23;2.18644200087488;1.40401199830771
2016;1;3;0;6.85995301160812;5.81569201383591
2016;1;3;1;16.031733915329;13.8200519714355
2016;1;3;2;14.8843440279961;12.8384999851227
2016;1;3;3;5.04525100315809;4.29188399536014
2016;1;3;4;0.181869818693941;0.0582567266691814
2016;1;3;5;1.05425647211645;0.584745880244409
2016;1;3;6;0.647399998214955;0.394500001072884
2016;1;3;7;4.03213831586428;2.32659865224008
2016;1;3;8;6.86608851242256;4.31812851895931
2016;1;3;9;-999;-999
2016;1;3;10;28.3429960641861;24.6177479690552
2016;1;3;11;32.5102949863434;28.2093359916687
2016;1;3;12;34.7680221420288;30.0811798095703
2016;1;3;13;36.0260340518951;31.1131201309204
2016;1;3;14;36.2272298088074;31.2619438476563
2016;1;3;15;34.5084718347549;29.6992919952393
2016;1;3;16;35.7158270191193;30.3226678619385
2016;1;3;17;36.631054004097;31.4792520309448
2016;1;3;18;31.1959648138143;26.8540820121119
2016;1;3;19;29.1871600121392;25.1542666600545
2016;1;3;20;28.219296452915;24.3681388361314
2016;1;3;21;-999;-999
2016;1;3;22;-999;-999
2016;1;3;23;-999;-999
2016;1;4;0;-999;-999
2016;1;4;1;-999;-999
2016;1;4;2;25.4486902943825;21.7329673760862
2016;1;4;3;25.2143238823964;21.7511399917603
2016;1;4;4;23.9431760095596;20.6826479988098
2016;1;4;5;23.0499660163879;19.899995967865
2016;1;4;6;23.7133400751114;20.5319519714355
2016;1;4;7;24.5415730150223;21.2581319297791
2016;1;4;8;25.3651520532608;21.9677759262085
2016;1;4;9;26.6437490245819;23.0407440261841
2016;1;4;10;25.1557220822811;21.8167679958344
2016;1;4;11;19.0582660676003;16.5364800252914
2016;1;4;12;10.5228299752474;9.09481197552681
2016;1;4;13;2.40750700716972;1.88183999590874
2016;1;4;14;1.2312979952842;0.813863999497891
2016;1;4;15;6.19317806015313;3.81499199523926
2016;1;4;16;3.48884599270225;2.67946801210642
2016;1;4;17;6.72981996500492;5.78152797574997
2016;1;4;18;7.05040899214745;5.98276798095703
2016;1;4;19;6.27712897849083;5.18451600208282
2016;1;4;20;7.53084496927261;6.13003198928833
2016;1;4;21;9.19626093444824;7.37241595745087
2016;1;4;22;7.85805698156357;6.50068799285889
2016;1;4;23;7.29152198839188;6.27043198928833
2016;1;5;0;6.62438898019791;5.66967601547241
2016;1;5;1;10.0617260010242;8.5856279794693
2016;1;5;2;9.17102200546265;7.88939994049072
2016;1;5;3;8.59929601297379;7.34886000595093
2016;1;5;4;8.27584296722412;6.995363971138
2016;1;5;5;6.98650598907471;5.88870002975464
2016;1;5;6;7.14760599761009;6.05905201606751
2016;1;5;7;5.74728897166252;4.85722803153992
2016;1;5;8;5.19525298600197;4.37159998512268
2016;1;5;9;6.00236398873329;5.07375601100922
2016;1;5;10;5.87348402628899;4.96907996578217
2016;1;5;11;6.10546800136566;5.15097598571777
2016;1;5;12;5.62807504267693;4.6853160243988
2016;1;5;13;6.96162499146461;5.6489279794693
2016;1;5;14;7.19736801843643;5.82068402023315
2016;1;5;15;7.56574995732308;5.89010399494171
2016;1;5;16;6.78101400580406;5.38871998958588
2016;1;5;17;5.3198369866848;4.35475197143555
2016;1;5;18;5.43153298258782;4.46395203838348
2016;1;5;19;4.20574098651409;3.55665602030754
2016;1;5;20;4.03766001237631;2.92501199412346
2016;1;5;21;5.07872399897575;3.82185598497391
2016;1;5;22;6.54527101510763;5.59214402060509
2016;1;5;23;12.7954139716625;10.9845958971977
2016;1;6;0;16.8164700546265;14.4697920696259
2016;1;6;1;15.4175849419594;12.7670519714355
2016;1;6;2;13.893220995903;11.2731959976196
2016;1;6;3;11.1389479467392;8.76253199672699
2016;1;6;4;9.24852900409699;7.40876397857666
2016;1;6;5;7.13185402970314;6.04891202201843
2016;1;6;6;7.35560398702621;6.24001199970245
2016;1;6;7;7.80578900580406;5.98198801517487
2016;1;6;8;7.49450801672936;6.31005598869324
2016;1;6;9;7.34522202253342;6.13018800029755
2016;1;6;10;7.2852569644928;6.16013998661041
2016;1;6;11;9.12519798088074;6.70879201011658
2016;1;6;12;9.20216795548797;5.45049597762823
2016;1;6;13;10.3635200706303;5.98573197627067
2016;1;6;14;15.8704550612014;9.50337601123005
2016;1;6;15;2.97672701591849;2.52081600882411
2016;1;6;16;2.78734501621723;2.22176400740147
2016;1;6;17;5.84699204301834;4.2382200304985
2016;1;6;18;5.37998100187778;4.03994402246475
2016;1;6;19;6.46024599590302;5.24176798095703
2016;1;6;20;8.20835996756554;6.85465199375153
2016;1;6;21;9.10497103857994;7.77754804344177
2016;1;6;22;8.33723998975754;7.09988402767181
2016;1;6;23;6.86192200546265;5.83300799732208
2016;1;7;0;4.19696999914646;3.53684400014877
2016;1;7;1;2.31711199948788;1.90165200119019
2016;1;7;2;2.44617099803686;1.96545599427223
2016;1;7;3;2.95829000042677;2.40085201420784
2016;1;7;4;2.51078999829292;2.07403199300766
2016;1;7;5;2.09067699564695;1.67654399085045
2016;1;7;6;1.91310900068283;1.50775200304985
2016;1;7;7;2.04879100571871;1.6253759894371
2016;1;7;8;2.01943500810862;1.62911999330521
2016;1;7;9;2.36741099632978;1.89541200714111
2016;1;7;10;2.31872298301458;1.81351199412346
2016;1;7;11;3.02559401519299;2.30179199523926
2016;1;7;12;2.85088999402523;2.05765200862885
2016;1;7;13;8.00054101638794;6.37604403362274
2016;1;7;14;16.6093670771599;13.7787119625092
2016;1;7;15;17.1757230662346;14.1893040618897
2016;1;7;16;15.1358389631271;12.4846919654846
2016;1;7;17;12.8562739392281;10.4548199523926
2016;1;7;18;10.8305309549332;8.95815604820251
2016;1;7;19;9.0455430355072;7.42904402618408
2016;1;7;20;6.01167201399803;4.92071999702454
2016;1;7;21;1.48136099953055;1.22289599854946
2016;1;7;22;2.82493499957323;2.36185199933052
2016;1;7;23;3.19546500682831;2.66636400089264
2016;1;8;0;3.45591000170708;2.7587159983635
2016;1;8;1;3.96158499743938;2.90005199747086
2016;1;8;2;4.16689802782536;2.91315598497391
2016;1;8;3;4.31618400068283;3.06120002231598
2016;1;8;4;4.94608496329784;3.86023199672699
2016;1;8;5;5.04596701741219;4.00811995611191
2016;1;8;6;4.592559975034;3.7221720233202
2016;1;8;7;4.56553099761009;3.71702400312424
2016;1;8;8;3.62542299368381;2.98741198854446
2016;1;8;9;2.94987699351311;2.36419200639725
2016;1;8;10;2.67009999573231;2.19571199598312
2016;1;8;11;3.01431698327065;2.42581199970245
2016;1;8;12;3.36891598651409;2.67478800773621
2016;1;8;13;3.83789601724148;3.0643200044632
2016;1;8;14;4.60813300392628;3.63371999702454
2016;1;8;15;5.40378802185059;4.21014000148773
2016;1;8;16;5.86632401604652;4.52603997917175
2016;1;8;17;7.0378789955616;5.39168399791718
2016;1;8;18;7.25894395971298;5.71881598720551
2016;1;8;19;6.61042700204849;5.35907998809814
2016;1;8;20;5.64078405189514;4.51231199970245
2016;1;8;21;5.01267301075459;3.88956000595093
2016;1;8;22;4.3382009711504;3.47397600431442
2016;1;8;23;4.95736200802326;3.97988400163651
2016;1;9;0;6.45075900068283;5.10261598720551
2016;1;9;1;7.34683299965859;5.85266396369934
