year;month;day;hour;NO2;PM10;SO2
2016;1;1;0;4.484;28.72;3.967
2016;1;1;1;4.924;29.63;4.09
2016;1;1;2;4.413;32.56;3.865
2016;1;1;3;4.002;30.64;3.288
2016;1;1;4;3.555;24.83;7.257
2016;1;1;5;3.186;28.26;12.851
2016;1;1;6;2.794;20.38;7.916
2016;1;1;7;3.843;28.08;4.624
2016;1;1;8;2.609;32.58;3.636
2016;1;1;9;3.226;30.6;6.551
2016;1;1;10;3.141;19.48;9.089
2016;1;1;11;3.719;28.39;11.583
2016;1;1;12;3.263;26.82;-999
2016;1;1;13;5.556;29.7;11.607
2016;1;1;14;4.027;25;10.304
2016;1;1;15;4.228;26.87;10.082
2016;1;1;16;4.78;29.53;9.476
2016;1;1;17;5.427;30.94;8.283
2016;1;1;18;5.095;28.58;6.863
2016;1;1;19;5.769;29.79;5.444
2016;1;1;20;4.319;23.61;4.327
2016;1;1;21;3.021;9.357;3.572
2016;1;1;22;3.018;9.222;3.265
2016;1;1;23;2.834;7.278;3.047
2016;1;2;0;2.719;7.807;2.951
2016;1;2;1;2.935;6.908;2.868
2016;1;2;2;3.863;16.3;2.693
2016;1;2;3;4.205;19.88;2.614
2016;1;2;4;3.72;13.36;2.493
2016;1;2;5;3.211;16.29;2.521
2016;1;2;6;3.494;26.2;2.756
2016;1;2;7;4.076;25.8;2.926
2016;1;2;8;5.323;52.24;3.212
2016;1;2;9;5.156;52.36;3.724
2016;1;2;10;4.366;39.58;3.369
2016;1;2;11;4.351;34.75;3.614
2016;1;2;12;5.239;41.76;4.218
2016;1;2;13;5.835;50.89;-999
2016;1;2;14;8.392;48.6;8.786
2016;1;2;15;7.006;52.65;9.456
2016;1;2;16;10.331;52.29;10.232
2016;1;2;17;8.934;44.78;11.839
2016;1;2;18;8.502;46.24;13.543
2016;1;2;19;8.231;46.46;20.521
2016;1;2;20;7.158;37.48;29.169
2016;1;2;21;6.602;29.33;25.707
2016;1;2;22;6.061;25.31;24.929
2016;1;2;23;6.534;24.37;24.61
2016;1;3;0;6.344;22.8;27.146
2016;1;3;1;5.179;24.21;19.375
2016;1;3;2;4.393;20.95;15.894
2016;1;3;3;4.171;22.01;20.265
2016;1;3;4;4.761;19.38;23.197
2016;1;3;5;4.632;19.53;21.14
2016;1;3;6;4.554;13.05;19.41
2016;1;3;7;4.984;12.82;25.471
2016;1;3;8;4.677;12.66;25.413
2016;1;3;9;4.684;18.31;22.849
2016;1;3;10;3.882;17.27;13.045
2016;1;3;11;4.006;21.27;11.728
2016;1;3;12;4.231;23.82;11.338
2016;1;3;13;3.945;21.29;13.445
2016;1;3;14;4.356;25.53;-999
2016;1;3;15;7.214;25.08;14.9
2016;1;3;16;4.248;18.52;12.804
2016;1;3;17;3.609;20.27;12.827
2016;1;3;18;4.12;20.81;12.452
2016;1;3;19;4.665;21.98;11.293
2016;1;3;20;4.907;24.32;13.402
2016;1;3;21;5.336;22.83;13.317
2016;1;3;22;6.39;26.38;13.046
2016;1;3;23;6.168;26.95;10.563
2016;1;4;0;6.069;25.52;8.313
2016;1;4;1;5.561;20.55;14.719
2016;1;4;2;4.921;24.92;12.532
2016;1;4;3;5.356;26.21;10.631
2016;1;4;4;5.237;29.45;7.476
2016;1;4;5;5.442;25.72;7.696
2016;1;4;6;5.596;29.44;8.055
2016;1;4;7;5.55;29.62;8.521
2016;1;4;8;5.548;34.9;8.506
2016;1;4;9;5.373;37.02;7.306
2016;1;4;10;4.824;46.02;6.724
2016;1;4;11;4.593;18.05;5.862
2016;1;4;12;5.418;27.63;6.279
2016;1;4;13;6.504;28.07;6.602
2016;1;4;14;6.179;27.2;6.21
2016;1;4;15;6.379;24.56;-999
2016;1;4;16;10.584;27.51;6.299
2016;1;4;17;9.001;24.91;7.789
2016;1;4;18;8.972;24.42;8.601
2016;1;4;19;9.037;32.81;11.16
2016;1;4;20;7.968;33.88;10.891
2016;1;4;21;10.914;42.09;11.857
2016;1;4;22;11.227;36.33;13.693
2016;1;4;23;9.14;38.39;11.767
2016;1;5;0;9.389;27.19;13.642
2016;1;5;1;9.273;35.99;11.167
2016;1;5;2;7.73;33.42;7.299
2016;1;5;3;7.452;34.01;6.907
2016;1;5;4;5.862;30.04;7.301
2016;1;5;5;5.85;28.08;6.589
2016;1;5;6;6.532;31.35;5.778
2016;1;5;7;6.93;33.36;5.718
2016;1;5;8;6.688;41.78;6.435
2016;1;5;9;8.19;44.24;6.685
2016;1;5;10;7.349;39.78;9.452
2016;1;5;11;9.811;54.33;10.508
2016;1;5;12;8.363;54.57;16.777
2016;1;5;13;11.348;66.38;15.891
2016;1;5;14;13.577;64.47;13.943
2016;1;5;15;9.349;52.26;18.429
2016;1;5;16;8.884;61.94;-999
2016;1;5;17;11.325;61.28;26.43
2016;1;5;18;9.079;68.88;33.741
2016;1;5;19;9.357;56.21;42.805
2016;1;5;20;14.635;64.67;43.6
2016;1;5;21;16.403;63.62;43.92
2016;1;5;22;15.388;59.65;44.782
2016;1;5;23;17.205;57.04;46.951
2016;1;6;0;19.232;54.82;44.122
2016;1;6;1;18.106;61.98;39.225
2016;1;6;2;18.064;54.36;40.072
2016;1;6;3;14.133;38.35;34.476
2016;1;6;4;8.817;23.59;28.845
2016;1;6;5;7.816;26.39;28.501
2016;1;6;6;7.829;30.97;29.114
2016;1;6;7;9.227;29.99;27.251
2016;1;6;8;6.842;30.84;22.367
2016;1;6;9;6.462;34.19;17.626
2016;1;6;10;6.102;32.44;13.574
2016;1;6;11;5.616;24.68;11.441
2016;1;6;12;5.571;22.97;9.977
2016;1;6;13;5.21;16.73;8.358
2016;1;6;14;5.698;17.31;7.098
2016;1;6;15;7.108;22.01;6.404
2016;1;6;16;7.936;25.32;6.956
2016;1;6;17;8.536;17.63;-999
2016;1;6;18;11.435;13.16;8.243
2016;1;6;19;8.474;11.57;7.747
2016;1;6;20;7.195;8.607;8.527
2016;1;6;21;8.858;14.32;7.99
2016;1;6;22;11.088;17.67;6.864
2016;1;6;23;11.225;18.12;6.927
2016;1;7;0;13.421;17.25;8.079
2016;1;7;1;16.732;11.27;9.974
2016;1;7;2;15.313;14.16;11.4
2016;1;7;3;10.068;9.151;10.121
2016;1;7;4;7.842;9.645;7.161
2016;1;7;5;6.271;10.53;7.632
2016;1;7;6;5.952;7.473;9.346
2016;1;7;7;5.984;6.577;8.529
2016;1;7;8;5.406;10.7;5.967
2016;1;7;9;4.87;10.53;4.248
2016;1;7;10;4.171;4.298;3.746
2016;1;7;11;4.873;15.86;3.376
2016;1;7;12;5.131;16.31;3.496
2016;1;7;13;5.361;21.05;3.542
2016;1;7;14;4.792;8.71;3.297
2016;1;7;15;5.384;8.584;2.927
2016;1;7;16;6.578;12.28;2.88
2016;1;7;17;7.785;23.44;2.764
2016;1;7;18;7.776;27.13;-999
2016;1;7;19;11.861;13.93;2.224
2016;1;7;20;7.471;12.89;2.139
2016;1;7;21;4.438;12.59;2.184
2016;1;7;22;3.09;5.347;2.097
2016;1;7;23;2.343;4.158;2.315
2016;1;8;0;2.661;8.256;2.474
2016;1;8;1;2.417;4.156;2.558
2016;1;8;2;2.602;9.069;2.398
2016;1;8;3;6.101;4.522;2.092
2016;1;8;4;8.353;27.63;1.903
2016;1;8;5;7.034;25.89;1.771
2016;1;8;6;5.713;17.07;1.841
2016;1;8;7;4.961;18.06;1.854
2016;1;8;8;4.747;18.59;1.884
2016;1;8;9;3.466;6.203;2.052
2016;1;8;10;4.425;11.37;2.231
2016;1;8;11;6.107;10.16;2.525
2016;1;8;12;15.752;25.51;2.517
2016;1;8;13;8.493;10.19;2.488
2016;1;8;14;10.227;15.23;2.476
2016;1;8;15;21.312;40.6;2.547
2016;1;8;16;17.504;50.92;2.368
2016;1;8;17;22.194;50.96;3.104
2016;1;8;18;10.815;20.79;7.475
2016;1;8;19;13.957;31.01;-999
2016;1;8;20;9.896;25.79;11.827
2016;1;8;21;5.64;26.31;12.689
2016;1;8;22;6.166;20.92;8.944
2016;1;8;23;6.481;23.67;4.748
2016;1;9;0;5.56;18.24;4.637
2016;1;9;1;4.743;20.16;11.069
2016;1;9;2;5.021;14.95;16.455
2016;1;9;3;4.808;24.36;22.266
2016;1;9;4;4.572;17.76;22.601
2016;1;9;5;5.069;17.88;25.213
2016;1;9;6;5.174;15.96;22.827
2016;1;9;7;5.342;18.45;21.146
2016;1;9;8;4.98;12.36;19.493
2016;1;9;9;4.883;14.35;15.636
2016;1;9;10;6.654;17.57;13.043
2016;1;9;11;3.757;12.73;9.308
2016;1;9;12;8.784;44.91;7.765
2016;1;9;13;6.994;30.87;7.004
2016;1;9;14;5.018;9.705;6.03
2016;1;9;15;4.128;7.177;5.947
2016;1;9;16;7.47;21.83;5.294
2016;1;9;17;6.847;25.13;5.132
2016;1;9;18;5.029;20.63;5.058
2016;1;9;19;2.875;7;5.785
2016;1;9;20;2.629;14.98;-999
2016;1;9;21;4.852;14.94;5.205
2016;1;9;22;2.919;12.47;7.016
2016;1;9;23;3.452;17.92;8.992
2016;1;10;0;4.061;11.09;12.976
2016;1;10;1;4.218;12.26;13.616
2016;1;10;2;4.369;13.76;16.97
2016;1;10;3;5.055;17.37;18.758
2016;1;10;4;5.031;16.84;15.58
2016;1;10;5;4.399;14.54;11.988
2016;1;10;6;3.982;19.32;9.089
2016;1;10;7;3.499;9.657;7.813
2016;1;10;8;2.616;12.1;5.411
2016;1;10;9;3.29;10.74;4.343
2016;1;10;10;7.891;48.11;2.669
2016;1;10;11;7.914;32.53;2.613
2016;1;10;12;7.925;22.81;2.619
2016;1;10;13;7.268;30.15;2.605
2016;1;10;14;6.644;20.51;2.591
2016;1;10;15;8.93;27.9;2.716
2016;1;10;16;11.094;44.77;2.818
2016;1;10;17;4.708;16.54;2.99
2016;1;10;18;3.357;6.341;3.069
2016;1;10;19;2.628;10.68;2.968
2016;1;10;20;2.797;9.353;3.082
2016;1;10;21;2.619;8.529;-999
2016;1;10;22;4.181;14.19;3.754
2016;1;10;23;3.159;17.04;3.686
2016;1;11;0;2.795;13.58;3.605
2016;1;11;1;2.854;12.41;3.222
2016;1;11;2;2.802;11.1;3.775
2016;1;11;3;2.63;8.595;4.125
2016;1;11;4;2.192;9.589;2.808
2016;1;11;5;1.899;13.14;2.44
2016;1;11;6;1.687;7.687;2.518
2016;1;11;7;2.313;7.427;3.214
2016;1;11;8;3.838;12.56;3.502
2016;1;11;9;2.909;15.41;4.326
2016;1;11;10;3.298;11.66;5.24
2016;1;11;11;2.832;15.15;3.003
2016;1;11;12;2.169;8.159;2.469
2016;1;11;13;2.376;8.759;2.534
2016;1;11;14;2.924;8.642;2.572
2016;1;11;15;3.065;1.447;2.699
2016;1;11;16;3.437;5.137;3.073
2016;1;11;17;2.988;9.7;2.94
2016;1;11;18;4.767;12.46;4.012
2016;1;11;19;3.688;14.93;4.005
2016;1;11;20;2.99;13.8;2.509
2016;1;11;21;2.645;6.885;2.478
2016;1;11;22;-999;-999;-999
2016;1;11;23;2.68;13.93;2.727
2016;1;12;0;1.296;43.63;2.47
2016;1;12;1;1.433;-999;2.287
2016;1;12;2;0.825;1.642;2.211
2016;1;12;3;1.053;2.573;2.136
2016;1;12;4;0.865;0.569;2.115
2016;1;12;5;1.006;0.209;2.119
2016;1;12;6;2.352;-999;2.077
2016;1;12;7;1.587;5.524;2.032
2016;1;12;8;-999;-999;-999
2016;1;12;9;1.604;10.41;1.969
2016;1;12;10;1.498;9.392;2.048
2016;1;12;11;1.54;-999;2.119
2016;1;12;12;1.512;8.921;2.266
2016;1;12;13;1.595;-999;2.399
2016;1;12;14;2.259;8.667;2.494
2016;1;12;15;2.313;7.728;2.375
2016;1;12;16;2.899;12.36;2.263
2016;1;12;17;2.476;13.1;2.227
2016;1;12;18;2.32;11.98;2.181
2016;1;12;19;2.421;13.02;2.068
2016;1;12;20;3.009;10.53;2.161
2016;1;12;21;2.504;7.88;2.147
2016;1;12;22;2.04;4.454;2.076
2016;1;12;23;2.875;9.999;-999
2016;1;13;0;5.634;9.138;2.1
2016;1;13;1;3.062;7.992;2.032
2016;1;13;2;2.044;4.061;1.925
2016;1;13;3;1.455;0.55;1.925
2016;1;13;4;1.436;4.9;1.883
2016;1;13;5;2.058;4.461;1.952
2016;1;13;6;2.792;7.431;2.004
2016;1;13;7;3.553;7.053;2.003
2016;1;13;8;10.324;16.4;1.966
2016;1;13;9;13.572;13.86;2.023
2016;1;13;10;6.266;13.34;1.982
2016;1;13;11;5.929;14.54;2.018
2016;1;13;12;7.238;10.13;2.303
2016;1;13;13;5.7;13.83;2.087
2016;1;13;14;3.566;2.492;2.045
2016;1;13;15;2.98;-999;1.989
2016;1;13;16;3.952;4.392;2
2016;1;13;17;3.834;7.532;2.085
2016;1;13;18;3.108;0.148;2.253
2016;1;13;19;2.436;8.339;2.062
2016;1;13;20;2.42;-999;2.035
2016;1;13;21;2.302;-999;2.06
2016;1;13;22;2.752;6.163;2.037
2016;1;13;23;2.177;2.267;2.028
2016;1;14;0;3.337;5.868;-999
2016;1;14;1;5.86;6.724;2.032
2016;1;14;2;3.199;6.035;1.898
2016;1;14;3;2.561;2.968;1.837
2016;1;14;4;2.762;10.17;2.133
2016;1;14;5;2.732;10.79;2.084
2016;1;14;6;2.206;6.527;1.917
2016;1;14;7;1.825;4.439;1.843
2016;1;14;8;1.907;8.948;1.823
2016;1;14;9;4.88;11.53;1.872
2016;1;14;10;4.531;14.52;2.096
2016;1;14;11;4.71;9.989;2.127
2016;1;14;12;2.973;8.161;2.513
