year;month;day;hour;PM10
2016;1;1;0;108.23500000000001
2016;1;1;1;108.23500000000001
2016;1;1;2;108.23500000000001
2016;1;1;3;108.23500000000001
2016;1;1;4;108.23500000000001
2016;1;1;5;108.23500000000001
2016;1;1;6;108.23500000000001
2016;1;1;7;108.23500000000001
2016;1;1;8;108.23500000000001
2016;1;1;9;108.23500000000001
2016;1;1;10;108.23500000000001
2016;1;1;11;108.23500000000001
2016;1;1;12;108.23500000000001
2016;1;1;13;108.23500000000001
2016;1;1;14;108.23500000000001
2016;1;1;15;108.23500000000001
2016;1;1;16;108.23500000000001
2016;1;1;17;108.23500000000001
2016;1;1;18;108.23500000000001
2016;1;1;19;108.23500000000001
2016;1;1;20;108.23500000000001
2016;1;1;21;108.23500000000001
2016;1;1;22;108.23500000000001
2016;1;1;23;108.23500000000001
2016;1;10;0;175.29191666666665
2016;1;10;1;175.29191666666665
2016;1;10;2;175.29191666666665
2016;1;10;3;175.29191666666665
2016;1;10;4;175.29191666666665
2016;1;10;5;175.29191666666665
2016;1;10;6;175.29191666666665
2016;1;10;7;175.29191666666665
2016;1;10;8;175.29191666666665
2016;1;10;9;175.29191666666665
2016;1;10;10;175.29191666666665
2016;1;10;11;175.29191666666665
2016;1;10;12;175.29191666666665
2016;1;10;13;175.29191666666665
2016;1;10;14;175.29191666666665
2016;1;10;15;175.29191666666665
2016;1;10;16;175.29191666666665
2016;1;10;17;175.29191666666665
2016;1;10;18;175.29191666666665
2016;1;10;19;175.29191666666665
2016;1;10;20;175.29191666666665
2016;1;10;21;175.29191666666665
2016;1;10;22;175.29191666666665
2016;1;10;23;175.29191666666665
2016;1;11;0;17.430416666666666
2016;1;11;1;17.430416666666666
2016;1;11;2;17.430416666666666
2016;1;11;3;17.430416666666666
2016;1;11;4;17.430416666666666
2016;1;11;5;17.430416666666666
2016;1;11;6;17.430416666666666
2016;1;11;7;17.430416666666666
2016;1;11;8;17.430416666666666
2016;1;11;9;17.430416666666666
2016;1;11;10;17.430416666666666
2016;1;11;11;17.430416666666666
2016;1;11;12;17.430416666666666
2016;1;11;13;17.430416666666666
2016;1;11;14;17.430416666666666
2016;1;11;15;17.430416666666666
2016;1;11;16;17.430416666666666
2016;1;11;17;17.430416666666666
2016;1;11;18;17.430416666666666
2016;1;11;19;17.430416666666666
2016;1;11;20;17.430416666666666
2016;1;11;21;17.430416666666666
2016;1;11;22;17.430416666666666
2016;1;11;23;17.430416666666666
2016;1;12;0;58.543166666666657
2016;1;12;1;58.543166666666657
2016;1;12;2;58.543166666666657
2016;1;12;3;58.543166666666657
2016;1;12;4;58.543166666666657
2016;1;12;5;58.543166666666657
2016;1;12;6;58.543166666666657
2016;1;12;7;58.543166666666657
2016;1;12;8;58.543166666666657
2016;1;12;9;58.543166666666657
2016;1;12;10;58.543166666666657
2016;1;12;11;58.543166666666657
2016;1;12;12;58.543166666666657
2016;1;12;13;58.543166666666657
2016;1;12;14;58.543166666666657
2016;1;12;15;58.543166666666657
2016;1;12;16;58.543166666666657
2016;1;12;17;58.543166666666657
2016;1;12;18;58.543166666666657
2016;1;12;19;58.543166666666657
2016;1;12;20;58.543166666666657
2016;1;12;21;58.543166666666657
2016;1;12;22;58.543166666666657
2016;1;12;23;58.543166666666657
2016;1;13;0;92.827666666666659
2016;1;13;1;92.827666666666659
2016;1;13;2;92.827666666666659
2016;1;13;3;92.827666666666659
2016;1;13;4;92.827666666666659
2016;1;13;5;92.827666666666659
2016;1;13;6;92.827666666666659
2016;1;13;7;92.827666666666659
2016;1;13;8;92.827666666666659
2016;1;13;9;92.827666666666659
2016;1;13;10;92.827666666666659
2016;1;13;11;92.827666666666659
2016;1;13;12;92.827666666666659
2016;1;13;13;92.827666666666659
2016;1;13;14;92.827666666666659
2016;1;13;15;92.827666666666659
2016;1;13;16;92.827666666666659
2016;1;13;17;92.827666666666659
2016;1;13;18;92.827666666666659
2016;1;13;19;92.827666666666659
2016;1;13;20;92.827666666666659
2016;1;13;21;92.827666666666659
2016;1;13;22;92.827666666666659
2016;1;13;23;92.827666666666659
2016;1;14;0;102.03291166666666
2016;1;14;1;102.03291166666666
2016;1;14;2;102.03291166666666
2016;1;14;3;102.03291166666666
2016;1;14;4;102.03291166666666
2016;1;14;5;102.03291166666666
2016;1;14;6;102.03291166666666
2016;1;14;7;102.03291166666666
2016;1;14;8;102.03291166666666
2016;1;14;9;102.03291166666666
2016;1;14;10;102.03291166666666
2016;1;14;11;102.03291166666666
2016;1;14;12;102.03291166666666
2016;1;14;13;102.03291166666666
2016;1;14;14;102.03291166666666
2016;1;14;15;102.03291166666666
2016;1;14;16;102.03291166666666
2016;1;14;17;102.03291166666666
2016;1;14;18;102.03291166666666
2016;1;14;19;102.03291166666666
2016;1;14;20;102.03291166666666
2016;1;14;21;102.03291166666666
2016;1;14;22;102.03291166666666
2016;1;14;23;102.03291166666666
2016;1;15;0;51.762666666666661
2016;1;15;1;51.762666666666661
2016;1;15;2;51.762666666666661
2016;1;15;3;51.762666666666661
2016;1;15;4;51.762666666666661
2016;1;15;5;51.762666666666661
2016;1;15;6;51.762666666666661
2016;1;15;7;51.762666666666661
2016;1;15;8;51.762666666666661
2016;1;15;9;51.762666666666661
2016;1;15;10;51.762666666666661
2016;1;15;11;51.762666666666661
2016;1;15;12;51.762666666666661
2016;1;15;13;51.762666666666661
2016;1;15;14;51.762666666666661
2016;1;15;15;51.762666666666661
2016;1;15;16;51.762666666666661
2016;1;15;17;51.762666666666661
2016;1;15;18;51.762666666666661
2016;1;15;19;51.762666666666661
2016;1;15;20;51.762666666666661
2016;1;15;21;51.762666666666661
2016;1;15;22;51.762666666666661
2016;1;15;23;51.762666666666661
2016;1;16;0;22.937583333333333
2016;1;16;1;22.937583333333333
2016;1;16;2;22.937583333333333
2016;1;16;3;22.937583333333333
2016;1;16;4;22.937583333333333
2016;1;16;5;22.937583333333333
2016;1;16;6;22.937583333333333
2016;1;16;7;22.937583333333333
2016;1;16;8;22.937583333333333
2016;1;16;9;22.937583333333333
2016;1;16;10;22.937583333333333
2016;1;16;11;22.937583333333333
2016;1;16;12;22.937583333333333
2016;1;16;13;22.937583333333333
2016;1;16;14;22.937583333333333
2016;1;16;15;22.937583333333333
2016;1;16;16;22.937583333333333
2016;1;16;17;22.937583333333333
2016;1;16;18;22.937583333333333
2016;1;16;19;22.937583333333333
2016;1;16;20;22.937583333333333
2016;1;16;21;22.937583333333333
2016;1;16;22;22.937583333333333
2016;1;16;23;22.937583333333333
2016;1;17;0;29.192833333333329
2016;1;17;1;29.192833333333329
2016;1;17;2;29.192833333333329
2016;1;17;3;29.192833333333329
2016;1;17;4;29.192833333333329
2016;1;17;5;29.192833333333329
2016;1;17;6;29.192833333333329
2016;1;17;7;29.192833333333329
2016;1;17;8;29.192833333333329
2016;1;17;9;29.192833333333329
2016;1;17;10;29.192833333333329
2016;1;17;11;29.192833333333329
2016;1;17;12;29.192833333333329
2016;1;17;13;29.192833333333329
2016;1;17;14;29.192833333333329
2016;1;17;15;29.192833333333329
2016;1;17;16;29.192833333333329
2016;1;17;17;29.192833333333329
2016;1;17;18;29.192833333333329
2016;1;17;19;29.192833333333329
2016;1;17;20;29.192833333333329
2016;1;17;21;29.192833333333329
2016;1;17;22;29.192833333333329
2016;1;17;23;29.192833333333329
2016;1;18;0;92.063666666666677
2016;1;18;1;92.063666666666677
2016;1;18;2;92.063666666666677
2016;1;18;3;92.063666666666677
2016;1;18;4;92.063666666666677
2016;1;18;5;92.063666666666677
2016;1;18;6;92.063666666666677
2016;1;18;7;92.063666666666677
2016;1;18;8;92.063666666666677
2016;1;18;9;92.063666666666677
2016;1;18;10;92.063666666666677
2016;1;18;11;92.063666666666677
2016;1;18;12;92.063666666666677
2016;1;18;13;92.063666666666677
2016;1;18;14;92.063666666666677
2016;1;18;15;92.063666666666677
2016;1;18;16;92.063666666666677
2016;1;18;17;92.063666666666677
2016;1;18;18;92.063666666666677
2016;1;18;19;92.063666666666677
2016;1;18;20;92.063666666666677
2016;1;18;21;92.063666666666677
2016;1;18;22;92.063666666666677
2016;1;18;23;92.063666666666677
2016;1;19;0;88.450583333333327
2016;1;19;1;88.450583333333327
2016;1;19;2;88.450583333333327
2016;1;19;3;88.450583333333327
2016;1;19;4;88.450583333333327
2016;1;19;5;88.450583333333327
2016;1;19;6;88.450583333333327
2016;1;19;7;88.450583333333327
2016;1;19;8;88.450583333333327
2016;1;19;9;88.450583333333327
2016;1;19;10;88.450583333333327
2016;1;19;11;88.450583333333327
2016;1;19;12;88.450583333333327
2016;1;19;13;88.450583333333327
2016;1;19;14;88.450583333333327
2016;1;19;15;88.450583333333327
2016;1;19;16;88.450583333333327
2016;1;19;17;88.450583333333327
2016;1;19;18;88.450583333333327
2016;1;19;19;88.450583333333327
2016;1;19;20;88.450583333333327
2016;1;19;21;88.450583333333327
2016;1;19;22;88.450583333333327
2016;1;19;23;88.450583333333327
2016;1;2;0;61.424083333333328
2016;1;2;1;61.424083333333328
2016;1;2;2;61.424083333333328
2016;1;2;3;61.424083333333328
2016;1;2;4;61.424083333333328
2016;1;2;5;61.424083333333328
2016;1;2;6;61.424083333333328
2016;1;2;7;61.424083333333328
2016;1;2;8;61.424083333333328
2016;1;2;9;61.424083333333328
2016;1;2;10;61.424083333333328
2016;1;2;11;61.424083333333328
2016;1;2;12;61.424083333333328
2016;1;2;13;61.424083333333328
2016;1;2;14;61.424083333333328
2016;1;2;15;61.424083333333328
2016;1;2;16;61.424083333333328
2016;1;2;17;61.424083333333328
2016;1;2;18;61.424083333333328
2016;1;2;19;61.424083333333328
2016;1;2;20;61.424083333333328
2016;1;2;21;61.424083333333328
2016;1;2;22;61.424083333333328
2016;1;2;23;61.424083333333328
2016;1;20;0;135.45249999999999
2016;1;20;1;135.45249999999999
2016;1;20;2;135.45249999999999
2016;1;20;3;135.45249999999999
2016;1;20;4;135.45249999999999
2016;1;20;5;135.45249999999999
2016;1;20;6;135.45249999999999
2016;1;20;7;135.45249999999999
2016;1;20;8;135.45249999999999
2016;1;20;9;135.45249999999999
2016;1;20;10;135.45249999999999
2016;1;20;11;135.45249999999999
2016;1;20;12;135.45249999999999
2016;1;20;13;135.45249999999999
2016;1;20;14;135.45249999999999
2016;1;20;15;135.45249999999999
2016;1;20;16;135.45249999999999
2016;1;20;17;135.45249999999999
2016;1;20;18;135.45249999999999
2016;1;20;19;135.45249999999999
2016;1;20;20;135.45249999999999
2016;1;20;21;135.45249999999999
2016;1;20;22;135.45249999999999
2016;1;20;23;135.45249999999999
2016;1;21;0;59.975666666666662
2016;1;21;1;59.975666666666662
2016;1;21;2;59.975666666666662
2016;1;21;3;59.975666666666662
2016;1;21;4;59.975666666666662
2016;1;21;5;59.975666666666662
2016;1;21;6;59.975666666666662
2016;1;21;7;59.975666666666662
2016;1;21;8;59.975666666666662
2016;1;21;9;59.975666666666662
2016;1;21;10;59.975666666666662
2016;1;21;11;59.975666666666662
2016;1;21;12;59.975666666666662
2016;1;21;13;59.975666666666662
2016;1;21;14;59.975666666666662
2016;1;21;15;59.975666666666662
2016;1;21;16;59.975666666666662
2016;1;21;17;59.975666666666662
2016;1;21;18;59.975666666666662
2016;1;21;19;59.975666666666662
2016;1;21;20;59.975666666666662
2016;1;21;21;59.975666666666662
2016;1;21;22;59.975666666666662
2016;1;21;23;59.975666666666662
2016;1;22;0;94.737666666666669
2016;1;22;1;94.737666666666669
2016;1;22;2;94.737666666666669
2016;1;22;3;94.737666666666669
2016;1;22;4;94.737666666666669
2016;1;22;5;94.737666666666669
2016;1;22;6;94.737666666666669
2016;1;22;7;94.737666666666669
2016;1;22;8;94.737666666666669
2016;1;22;9;94.737666666666669
2016;1;22;10;94.737666666666669
2016;1;22;11;94.737666666666669
2016;1;22;12;94.737666666666669
2016;1;22;13;94.737666666666669
2016;1;22;14;94.737666666666669
2016;1;22;15;94.737666666666669
2016;1;22;16;94.737666666666669
2016;1;22;17;94.737666666666669
2016;1;22;18;94.737666666666669
2016;1;22;19;94.737666666666669
2016;1;22;20;94.737666666666669
2016;1;22;21;94.737666666666669
2016;1;22;22;94.737666666666669
2016;1;22;23;94.737666666666669
2016;1;23;0;133.95633333333333
2016;1;23;1;133.95633333333333
2016;1;23;2;133.95633333333333
