year;month;day;hour;O3
2016;1;1;0;47.84
2016;1;1;1;47.8450000762939
2016;1;1;2;44.1950000762939
2016;1;1;3;43.5033332188924
2016;1;1;4;42.5666666666666
2016;1;1;5;42.7883333206176
2016;1;1;6;42.0850001653035
2016;1;1;7;42.4649998346964
2016;1;1;8;39.5916667302449
2016;1;1;9;39.9266667048136
2016;1;1;10;44.8949999491373
2016;1;1;11;50.81666653951
2016;1;1;12;59.029999923706
2016;1;1;13;65.8199997584025
2016;1;1;14;67.6433338165283
2016;1;1;15;68.9383332570393
2016;1;1;16;71.1099998474121
2016;1;1;17;70.3749998410542
2016;1;1;18;58.4458334445953
2016;1;1;19;63.6216668446858
2016;1;1;20;61.3883337020874
2016;1;1;21;56.6733335494995
2016;1;1;22;52.9933332443237
2016;1;1;23;51.4949999491373
2016;1;2;0;46.1100002924601
2016;1;2;1;42.1149997711181
2016;1;2;2;41.7283333460489
2016;1;2;3;36.2316666603088
2016;1;2;4;34.3949999809265
2016;1;2;5;35.8916667620341
2016;1;2;6;30.6816665013631
2016;1;2;7;34.5266668319702
2016;1;2;8;33.2600001335144
2016;1;2;9;35.2199999173482
2016;1;2;10;41.3449998219807
2016;1;2;11;48.9966667811075
2016;1;2;12;56.1883334477742
2016;1;2;13;58.2700000762939
2016;1;2;14;63.0766664505004
2016;1;2;15;63.5666664759318
2016;1;2;16;59.4383334477742
2016;1;2;17;56.4600001653035
2016;1;2;18;50.314583381017
2016;1;2;19;47.6437501907348
2016;1;2;20;46.2583331425984
2016;1;2;21;41.0450002670288
2016;1;2;22;43.9466665903727
2016;1;2;23;44.0333334604899
2016;1;3;0;42.364999961853
2016;1;3;1;40.718333307902
2016;1;3;2;40.8566668828328
2016;1;3;3;43.6566668192545
2016;1;3;4;48.3083334604899
2016;1;3;5;50.1916667302449
2016;1;3;6;50.0799997329711
2016;1;3;7;49.621666653951
2016;1;3;8;52.3633334477742
2016;1;3;9;51.7783335367838
2016;1;3;10;51.1366668701171
2016;1;3;11;49.558333269755
2016;1;3;12;54.183333269755
2016;1;3;13;47.8533336003621
2016;1;3;14;43.0100001017252
2016;1;3;15;41.4999998092651
2016;1;3;16;38.0033330917358
2016;1;3;17;35.1566668192545
2016;1;3;18;35.5383334477742
2016;1;3;19;34.4083335399627
2016;1;3;20;32.0145833492279
