year;month;day;hour;NO2;NOx;PM10;SO2;NO
2016;1;1;0;18.71;20.14;111.3302;2.19;-999
2016;1;1;1;16.6432776904571;29.19624;75.34568;2.007;8.187
2016;1;1;2;18.7052017963111;36.34712;85.74932;4.546;11.506
2016;1;1;3;14.718384340016;26.429576;75.57032;1.928;7.638
2016;1;1;4;10.2587493696873;18.978512;72.70616;1.611;5.687
2016;1;1;5;19.6643450200481;35.67792;100.82828;1.823;10.444
2016;1;1;6;18.1953555733761;32.2172;72.3692;2.102;9.145
2016;1;1;7;15.8452377161187;24.880856;55.19828;1.802;5.893
2016;1;1;8;17.2234861267041;31.1656;50.24216;2.56;9.093
2016;1;1;9;13.3867982357658;26.7202;54.36992;2.225;8.696
2016;1;1;10;6.73381714194066;12.732008;50.52296;2.401;3.912
2016;1;1;11;9.54956296391339;18.200328;52.02524;2.846;5.642
2016;1;1;12;11.3010147618284;19.448864;64.81568;7.265;5.314
2016;1;1;13;12.2664735653569;19.500488;57.50084;7.335;4.718
2016;1;1;14;10.6637299823577;24.792904;46.9568;5.478;9.215
2016;1;1;15;9.71752304089816;21.200256;53.12036;6.882;7.489
2016;1;1;16;20.6278427586207;36.38536;50.7476;5.546;10.277
2016;1;1;17;30.0646897193264;54.43464;56.37764;5.098;15.894
2016;1;1;18;20.0352760866079;36.36624;51.6602;4.51;10.651
2016;1;1;19;27.3832438813152;58.46896;52.79744;3.909;20.274
2016;1;1;20;38.0474047153168;79.09944;83.98028;3.662;26.774
2016;1;1;21;35.4822428227747;73.0384;90.70544;4.11;24.494
2016;1;1;22;-999;-999;116.5952;4.001;-999
2016;1;1;23;22.4755829991981;41.108;92.17964;-999;12.152
2016;1;2;0;12.9291693921411;20.005256;73.40816;3.433;4.615
2016;1;2;1;10.9898846768244;17.165936;71.246;2.379;4.028
2016;1;2;2;9.08558174178027;14.030256;65.7002;4.914;3.2249
2016;1;2;3;8.46742922854851;13.014984;61.17932;2.198;2.9659
2016;1;2;4;6.78757240096231;10.431872;63.29936;2.351;2.3768
2016;1;2;5;14.3824549863673;21.389544;68.14316;2.957;4.57
2016;1;2;6;13.8163787906977;26.133216;69.18212;3.387;8.033
2016;1;2;7;12.6186786848436;27.49456;65.0684;3.57;9.702
2016;1;2;8;17.4742387169206;36.55744;76.11788;3.659;12.446
2016;1;2;9;19.6526460946271;37.03544;68.32568;3.818;11.337
2016;1;2;10;17.6544910986367;58.5072;86.2688;3.919;26.644
2016;1;2;11;16.1973079069768;47.58968;99.56468;3.64;20.474
2016;1;2;12;19.0829559582999;51.08864;85.81952;3.586;20.874
2016;1;2;13;24.5582983801123;56.82464;74.62964;3.561;21.044
2016;1;2;14;27.9433510184443;96.51776;63.79076;3.914;44.724
2016;1;2;15;20.2770436567763;48.67952;81.29864;6.14;18.524
2016;1;2;16;20.3126617481957;54.5876;62.92028;2.634;22.354
2016;1;2;17;20.6071588131516;48.48832;52.61492;2.149;18.184
2016;1;2;18;20.5692561347233;45.1232;88.54328;2.013;16.014
2016;1;2;19;17.4733954129912;35.31464;57.908;1.907;11.636
2016;1;2;20;18.6638032397755;42.08312;48.13616;2.412;15.274
2016;1;2;21;19.2703687570168;35.96472;54.6086;3.043;10.888
2016;1;2;22;22.3773457578188;47.20728;46.50752;4.377;16.194
2016;1;2;23;-999;-999;68.2274;4.008;-999
2016;1;3;0;14.613523329591;25.722136;65.25092;-999;7.245
2016;1;3;1;13.6847681796311;29.21536;60.37904;10.98;10.129
2016;1;3;2;11.9017538155573;22.125664;47.57456;17.15;6.668
2016;1;3;3;9.19056081475541;15.102888;37.0586;10.77;3.856
2016;1;3;4;15.6939934562951;36.92072;47.9396;38.78;13.844
2016;1;3;5;10.1777615268645;20.775792;36.83396;29.71;6.912
2016;1;3;6;8.5424802117081;18.720392;27.56756;12.46;6.638
2016;1;3;7;14.2816893664795;34.43512;31.3724;35.27;13.144
2016;1;3;8;14.5474527666399;37.0928;33.23972;35.16;14.704
2016;1;3;9;12.7536993103448;31.28032;31.13372;36.88;12.083
2016;1;3;10;12.746538893344;32.026;40.79324;35.28;12.574
2016;1;3;11;16.7321159262229;48.35448;36.2162;61.5;20.624
2016;1;3;12;22.4036721732157;66.5376;46.17056;74.88;28.784
2016;1;3;13;20.4260937931035;55.23768;47.0972;53.93;22.704
2016;1;3;14;17.0408418283881;42.71408;46.00208;34.2;16.744
2016;1;3;15;17.0366406415397;47.64704;43.26428;21.11;19.964
2016;1;3;16;16.2811016519647;34.11008;48.47312;23.37;11.628
2016;1;3;17;12.7714700240577;29.31096;46.0442;12.37;10.787
2016;1;3;18;14.4017758460305;27.85784;47.74304;10.92;8.776
2016;1;3;19;16.3251374498797;37.4752;54.76304;8.866;13.794
2016;1;3;20;15.1095838331997;30.32432;64.40852;11.54;9.923
2016;1;3;21;14.6731203849238;30.74496;67.41308;8.554;10.482
2016;1;3;22;19.6772552365678;31.58624;67.97468;7.855;7.767
2016;1;3;23;18.3225564715317;27.78136;56.9954;7.556;6.169
2016;1;4;0;-999;-999;43.0256;7.588;-999
2016;1;4;1;11.4354220753809;20.940224;33.49244;-999;6.199
2016;1;4;2;12.5941722726544;17.573192;39.64196;11.58;3.2473
2016;1;4;3;14.1068233969527;24.108408;28.59248;10.89;6.523
2016;1;4;4;7.44420103929431;11.068568;31.94804;15.49;2.3638
2016;1;4;5;6.91373680192462;11.143136;35.90732;17.16;2.7584
2016;1;4;6;10.2253928660786;18.663032;41.56544;23.05;5.503
2016;1;4;7;14.1773895364876;24.890416;43.95224;23.56;6.987
2016;1;4;8;20.5630310184443;39.42544;37.3394;21.04;12.302
2016;1;4;9;16.6084875701684;34.416;43.22216;18.61;11.614
2016;1;4;10;18.1260513231756;36.806;47.91152;16.28;12.183
2016;1;4;11;21.7458644426624;49.97968;65.12456;14.48;18.414
2016;1;4;12;21.7618258861267;48.12504;57.557;13.91;17.194
2016;1;4;13;19.7278688051323;42.7332;43.61528;13.62;15.004
2016;1;4;14;17.1920385565357;42.00664;56.60228;13.35;16.184
2016;1;4;15;24.2762208821171;67.32152;57.24812;12.58;28.074
2016;1;4;16;19.7921592301524;35.44848;61.2776;12.23;10.211
2016;1;4;17;25.0590369206095;49.44432;54.41204;21.96;15.904
2016;1;4;18;26.1895855012029;44.12896;74.55944;27.55;11.7
2016;1;4;19;24.4869548676824;43.45976;68.80304;24.53;12.374
2016;1;4;20;17.5232423416199;35.9456;65.3492;24.06;12.015
2016;1;4;21;17.4903688211708;33.03936;80.76512;22.18;10.141
2016;1;4;22;22.067837882919;36.92072;66.62684;20.66;9.687
2016;1;4;23;21.4901440256616;35.1808;70.9652;18.68;8.929
2016;1;5;0;16.379423223737;26.22308;63.42572;19.24;6.42
2016;1;5;1;-999;-999;66.38816;19.36;-999
2016;1;5;2;16.3197019727346;22.68588;82.84304;-999;4.152
2016;1;5;3;12.7828285613472;19.490928;74.23652;17.31;4.375
2016;1;5;4;14.3450383576584;21.487056;74.67176;14.97;4.658
2016;1;5;5;17.1361520384924;23.332136;87.06908;12.17;4.041
2016;1;5;6;22.7142840096231;40.03728;76.56716;11.52;11.298
2016;1;5;7;24.6757476182839;52.61824;80.35796;11.66;18.224
2016;1;5;8;21.8514460946271;41.14624;74.71388;11.1;12.584
2016;1;5;9;26.080385308741;64.66384;91.01432;10.16;25.164
2016;1;5;10;17.2514684843625;36.4236;82.71668;11.65;12.504
2016;1;5;11;26.3190556535686;64.2432;101.05292;12.14;24.734
2016;1;5;12;23.7801281796311;48.87072;96.71456;12.22;16.364
2016;1;5;13;28.5802754771451;54.83616;91.12664;24.01;17.124
2016;1;5;14;24.6290899117883;51.29896;66.6128;12.94;17.394
