year;month;day;hour;NO2;NOx;PM10;SO2;NO
2016;1;1;0;39.21;162.86416;181.24268;6.09;-999
2016;1;1;1;26.4457599005613;86.317188;252.2976;9.8575;39.047945
2016;1;1;2;27.3156691900561;97.72096;339.71016;12.0905;45.918095
2016;1;1;3;25.9175399582999;66.460304;319.57768;9.4689;26.441855
2016;1;1;4;25.3237582261427;45.855564;269.30712;6.9751;13.390775
2016;1;1;5;24.8572207858861;49.87916;166.59812;4.86374;16.319225
2016;1;1;6;20.020878553328;49.739668;161.7924;3.53115;19.382495
2016;1;1;7;18.499996064154;38.797716;147.52684;2.78083;13.238105
2016;1;1;8;16.609803627907;48.080212;155.01588;2.59314;20.524895
2016;1;1;9;19.8414972510024;38.079616;131.3966;2.94928;11.89484
2016;1;1;10;18.4506749799519;38.54522;114.73576;-999;13.105595
2016;1;1;11;21.0863871018444;47.264588;125.30228;5.5247;17.073335
2016;1;1;12;-999;-999;125.28712;6.3397;-999
2016;1;1;13;12.8923552012831;19.516516;98.84808;4.9971;4.3202555
2016;1;1;14;11.5419572510024;18.979188;71.80264;5.2579;4.850537
2016;1;1;15;11.1574641013633;14.2654592;89.3276;4.76214;2.027024
2016;1;1;16;20.8445872622294;28.061304;115.64536;4.39492;4.7067185
2016;1;1;17;30.7996972574178;109.63884;116.73688;4.7359;51.418625
2016;1;1;18;30.9457674097835;163.56428;122.528;4.58223;86.49335
2016;1;1;19;28.9671531355253;179.81828;121.75484;4.4459;98.3846
2016;1;1;20;25.6640135685645;203.19996;122.92216;4.56117;115.78835
2016;1;1;21;26.9299907297514;189.47092;141.1748;4.27892;106.00865
2016;1;1;22;27.5626339695269;120.50408;146.64756;2.91715;60.6161
2016;1;1;23;26.7325673456295;129.52204;125.96932;3.28695;67.03895
2016;1;2;0;21.3406353488372;117.18964;118.40448;3.27439;62.5124
2016;1;2;1;21.3125072814755;68.97718;133.03388;2.52332;31.08674
2016;1;2;2;22.1115816968725;51.519008;121.60324;2.62492;19.179425
2016;1;2;3;25.3171431852446;45.704376;111.47636;3.3468;13.296485
2016;1;2;4;19.5225761539695;30.989432;108.8082;3.20162;7.478645
2016;1;2;5;13.7572345629511;48.75342;105.852;3.7384;22.824395
2016;1;2;6;14.3585664218123;68.250824;77.79084;4.58554;35.14835
2016;1;2;7;14.2972206543705;57.670588;74.10696;4.2102;28.287965
2016;1;2;8;19.150033584603;113.80124;78.7914;5.1785;61.7312
2016;1;2;9;23.0996892702486;197.64436;74.3192;6.7993;113.83745
2016;1;2;10;31.3317393424218;120.98568;66.14796;5.3943;58.472
2016;1;2;11;23.0826272943063;78.319188;66.79984;-999;36.0251
2016;1;2;12;26.3385782197274;142.05912;53.59548;6.6016;75.47255
2016;1;2;13;-999;-999;79.29168;5.8779;-999
