year;month;day;hour;NO2;NOx;O3;PM10;SO2;NO
2016;1;1;0;37.05;124.39472;12.24;257.3809;4.15;-999
2016;1;1;1;43.2264398766016;109.798893594749;12.0635991666666;234.1419;6.4424;43.4183314783105
2016;1;1;2;42.9131190550077;99.0857949936073;11.7725899930555;229.3574;4.78985;36.6356312214612
2016;1;1;3;40.028800313661;96.1446274400685;12.2579305138888;268.5903;5.3872;36.5985546164384
2016;1;1;4;37.5526284478028;76.3548527643836;11.32205025;213.7736;4.18323;25.3066808173516
2016;1;1;5;38.1302557508475;76.5162184776256;11.1007077777777;173.8572;3.3915;25.0351964018265
2016;1;1;6;32.0295697039421;61.6550554472603;-999;178.3683;2.81259999999999;19.3216426369863
2016;1;1;7;31.1244186213014;52.3821926471461;11.4118340833333;155.1293;-999;13.8642490639269
2016;1;1;8;31.3316068078786;53.1815576255708;11.844422125;158.9569;2.6977;14.2504647853881
2016;1;1;9;-999;-999;13.1962453333333;157.7266;2.76863;-999
2016;1;1;10;25.6119906822941;48.0614687865297;16.0942105625;150.2081;2.92969;14.6414744748858
2016;1;1;11;27.0379095832541;48.4493771067352;23.5675652083333;146.9273;4.49504;13.9644874486301
2016;1;1;12;24.3504946246026;40.8738137068493;37.5786122708333;113.31277;5.0444;10.7764533972603
2016;1;1;13;18.7714502795147;31.6743003310502;45.21690225;111.7954;4.03766;8.41519561415525
2016;1;1;14;15.6723101231602;26.158295052968;49.844238625;96.63537;4.67459;6.8389242716895
2016;1;1;15;22.5358204867836;40.282501030137;45.4543495277777;85.2756;6.2429;11.5743256472603
2016;1;1;16;33.1761333603315;63.2798634657534;32.8114180208333;89.40394;4.00553;19.6335520091324
2016;1;1;17;46.9635582206172;106.676415894977;22.9909551666666;98.84991;4.43444;38.9445258995434
2016;1;1;18;57.0250933662653;128.564225034247;13.5797430486111;119.39592;11.8363;46.6575822123288
2016;1;1;19;48.6898630718678;103.307922679452;14.1419677083333;112.31486;3.94974;35.6217156541096
2016;1;1;20;47.0321595693445;105.755217356164;12.9445593333333;112.04146;3.5936;38.2989817260274
2016;1;1;21;39.5917090555207;82.5564455794521;14.5665590277777;114.58408;2.89683;28.0214573458904
2016;1;1;22;43.9712839649424;120.939222310502;14.2548328125;322.1767;3.26219;50.1982317557078
2016;1;1;23;45.8000465094492;141.238714223744;13.6634588749999;350.8837;3.55517;62.2447796232877
2016;1;2;0;42.0990474661159;110.751251287671;12.5176561319444;291.966;4.40563;44.7747375342466
2016;1;2;1;39.7944709638826;67.8557368894977;11.9150073333333;173.3104;3.32574;18.3014637077626
2016;1;2;2;29.0298148251189;38.068469747032;18.1380766666666;122.28029;3.50936;5.89498048515982
2016;1;2;3;25.9727230838868;34.4311578369863;18.9654996527777;124.75456;3.25334;5.51656283321918
2016;1;2;4;25.7861085241907;33.7162574429224;17.6015472083333;115.25391;3.13955;5.1720165803653
2016;1;2;5;21.0874889654679;28.313550394863;20.1903751666666;103.06027;2.86801;4.71281307659817
2016;1;2;6;22.7717938079676;32.3105136287671;16.9746970208333;114.09196;2.93932;6.22112113835616
2016;1;2;7;25.0857695361965;39.1905577876712;-999;101.21482;3.6612;9.19909568493151
