year;month;day;hour;NO2;O3;SO2;NO;PM10;PM25
2016;1;1;0;43.7119845312703;15.0685206534718;10.7464697547629;0.88165018372671;20.6255243995201;17.6283201369642
2016;1;1;1;45.1736918532671;12.6356987095733;10.9553255356332;0.76124282826345;19.7832843440438;16.6701212833686
2016;1;1;2;39.4359505747789;17.1669665149921;10.1685852226737;0.440199899253011;17.5891088360913;14.7255461158124
2016;1;1;3;35.3187867734747;19.8314822341672;9.62108702566011;0.312005616687731;16.6108335974968;13.9815226063433
2016;1;1;4;32.4494236452408;21.7173727889985;9.17898495865468;0.253808369444744;16.3597491109613;13.9583846703317
2016;1;1;5;31.8486991612748;23.1240182557713;8.73364479328392;0.275967545435136;16.2085722621441;14.0583837904273
2016;1;1;6;35.3119530641805;20.419099300284;9.10020415830504;0.533726741107427;17.28754028818;15.2026640165559
2016;1;1;7;42.6157074362486;12.605831933854;10.1657893370849;2.3013999960383;21.277392292518;18.9462312505384
2016;1;1;8;47.7598296581284;4.98214625110904;10.7386487808475;7.62814139922791;25.3030663088794;22.5873275638833
2016;1;1;9;45.3857542158384;10.2704378335261;13.8455531859569;15.2002876896567;27.2538258627719;24.349178673333
2016;1;1;10;36.4671590141996;19.5706171268739;13.2458025768436;17.5140312338791;27.1622297987051;24.2092461633092
2016;1;1;11;22.3067776275098;40.0749016193913;10.146125567255;8.21817482450509;18.3731394542974;16.2505546796865
2016;1;1;12;18.8277318104076;45.8862743357713;9.83658412938977;7.31710618944824;15.825417420956;13.7334508210074
2016;1;1;13;18.6177786593033;46.4355203178002;10.1782770005703;7.45723073206298;14.4466065776783;12.2498660104498
2016;1;1;14;21.7475750601054;42.4866470893903;11.9710138515587;8.70562807212447;15.4791059969739;12.851209874043
2016;1;1;15;25.756464307863;36.6204453428054;14.3913700987507;9.52327050690247;17.4477605696666;14.0318725527777
2016;1;1;16;34.2347709560634;27.3172560127932;17.2204322788896;10.8313867711449;21.0387280930036;16.7498281911094
2016;1;1;17;45.2167727522173;12.8145707378735;18.103129011498;15.1577448293166;24.3931577159628;19.8618810287599
2016;1;1;18;50.2690237003897;1.03521202721168;14.3745247317089;25.5284449716887;27.3842299947091;22.8075656139026
2016;1;1;19;50.609717394169;0.098881763888059;15.3865952842685;28.0358878257586;29.9790023916557;25.633577038775
2016;1;1;20;47.4128694665122;1.21938237285235;11.8312896256291;17.0257490566499;24.5397515641343;21.6222542093192
2016;1;1;21;46.4486133855392;1.27330823662675;11.8407255831218;14.1836955037747;22.9877716861893;20.4027212902247
2016;1;1;22;45.0522576542631;1.5583282442222;11.4994886852285;10.7191761701234;23.220172451488;20.7295318688239
2016;1;1;23;42.5591323389754;3.03211278307458;9.93112822025581;6.10444584878141;22.1065725725111;19.8190335254367
2016;1;2;0;43.6581402005342;0.809631528486676;10.1297718257328;5.9871658752958;23.4914256935781;21.0541486467264
2016;1;2;1;33.8990123416104;10.5172839326428;6.85585297453183;0.96851717557521;18.5321589185605;16.6384879207726
2016;1;2;2;33.0392046842038;10.4791650912262;6.98106361451017;0.593589807398647;19.1764026880037;17.2450693725068
2016;1;2;3;30.6012211534049;11.7434275637152;6.53576347971607;0.412451418267059;19.4656237795243;17.6213870162201
2016;1;2;4;26.5249746959712;14.2477727393953;5.84696672925014;0.254840724582667;19.4887963544943;17.8041315024302
2016;1;2;5;21.8116105164565;17.8568679842783;5.11906385825146;0.227667808407268;18.7471211887669;17.3165979333589
2016;1;2;6;17.9434950008645;21.6645830164452;4.93910733908165;0.309772815600458;18.1298744905689;16.8542388934156
2016;1;2;7;21.2375127044647;19.6485938630531;5.96583627569403;0.979165834033409;20.9938857409497;19.5655545098816
2016;1;2;8;30.8278713795043;11.1128501956159;7.69056305336601;2.81033772036575;25.7229615385768;23.9339446039821
2016;1;2;9;33.5418457402382;19.1340969735165;9.59494080432187;4.88737673219335;25.5016558980969;23.6637234252157
2016;1;2;10;27.5516698896729;32.4434950016439;8.09880613277029;4.47598815866785;21.1386144144399;19.4682883147834
2016;1;2;11;23.3042936976795;40.0919759613316;6.89429546316084;4.3948939804679;18.3131128039804;16.7595981537261
2016;1;2;12;20.6567577999198;44.7706298700723;6.03837105512879;4.19130482606618;16.4736508878605;15.0124357389814
2016;1;2;13;14.8154528798092;54.3205871395003;4.85225975205674;2.61918500188501;12.6504415831619;11.400142163609
