year;month;day;hour;NO2;O3;SO2;NO;PM10;PM25
2016;1;1;0;16.9512027104635;10.5256745541737;5.80811955651018;1.07669539673587;12.4420429514771;9.58877510726097
2016;1;1;1;12.2934889376875;17.7941004153581;5.46981177096864;0.498405313972114;10.6385869003134;8.24937185228691
2016;1;1;2;9.73049217151845;21.5404387660101;4.99630258918265;0.360087617800405;9.7038554969231;7.61136220717162
2016;1;1;3;8.54624465523687;24.0606823354028;4.36974713064937;0.292014092319406;8.89524365277339;6.99218238864319
2016;1;1;4;7.68055260352001;27.2336784234994;3.92252427721994;0.254499974710458;8.07247513279208;6.39170583127679
2016;1;1;5;7.55842212697861;29.1104029770395;3.62849062220605;0.257543709273823;7.3683397161517;5.90379745091241
2016;1;1;6;8.80443710290096;28.8316623908713;3.76071662074451;0.318667370130878;7.15973369480594;5.80631809299348
2016;1;1;7;15.0167076564092;22.9043912725047;4.97702943021404;0.971294394318356;8.61833182597138;6.96436908143028
2016;1;1;8;22.1467305934605;17.1087144451576;5.77502114986562;2.34322176513961;10.3255066719043;8.16849965445954
2016;1;1;9;26.5811846720967;24.700788969767;8.11500037746356;5.21501877425807;11.3848930283211;9.06864805472196
2016;1;1;10;20.0623422697381;29.6976754299294;8.78851170242201;7.84709399149982;11.4452527455455;9.17032494385239
2016;1;1;11;11.609695996149;55.8328459021595;11.687210823532;4.12337772682013;10.1162447307956;8.05644795320859
2016;1;1;12;9.47828771067628;60.5615539939208;11.2634934243366;3.67183064225328;9.4509564618761;7.52106021906229
2016;1;1;13;10.6354848446286;60.9859043265715;10.3862840081198;4.31078005101369;9.29369825541926;7.40998107318092
2016;1;1;14;17.3058474285598;53.3627790844093;12.0916497471978;6.08770390706094;11.1282085768494;8.77652706066101
2016;1;1;15;19.8712548434225;51.1491009547171;13.0374834558917;6.20729513785566;12.2705996474792;9.57564871839622
2016;1;1;16;26.8962298789301;44.00418873729;15.9640938965796;7.04319617313939;14.6187657534824;11.1042890438284
2016;1;1;17;41.4713837946682;28.086358128121;19.175909686433;8.57833449605666;17.5149015291254;13.2203439306977
2016;1;1;18;30.8263022076883;4.5021297800929;8.9540731636762;7.11186332878066;17.533476892595;13.0482211702088
2016;1;1;19;35.3736092892391;2.52280107915226;9.59139121803187;6.43381053614768;17.01693896905;13.1292861027532
2016;1;1;20;34.5922160684505;3.5217673222121;9.54817695956913;5.31212092878241;16.1989870406387;12.8330679416422
2016;1;1;21;27.7514370098759;9.77734249119067;7.60790429090218;1.9951300240612;13.7784272880026;11.1338929187355
2016;1;1;22;20.3198545731248;16.8768501396244;5.89163897637225;1.12411818562369;11.9743566173725;9.93205695465349
2016;1;1;23;16.8479396569486;19.2679756594316;4.66080100961294;0.895471422144804;11.3047997629678;9.66204449781571
2016;1;2;0;14.4599182850552;19.6260145912674;3.66727962551429;0.615131041144145;11.2477271940747;9.82535564020282
2016;1;2;1;11.9353704739745;19.9222913721542;3.11809795510873;0.358119359880221;10.9059064001826;9.77930358914136
2016;1;2;2;10.4154509533727;20.6467571928215;2.8254090772796;0.303512099077802;10.767902125508;9.78963576869774
2016;1;2;3;9.06374274550599;22.9966286013905;2.52941423674813;0.273515035779539;10.6343334138614;9.76010028352903
2016;1;2;4;9.55181971334281;22.21553430104;2.5872158875378;0.311563673170759;11.8525500525379;10.9618127908107
2016;1;2;5;9.74952517273984;22.0540048445628;2.58850374624636;0.342917783390519;12.8416903777406;11.9144907273494
2016;1;2;6;13.7332635172551;27.1180855548891;3.86338566771752;0.49932027894484;14.6492196151371;13.6170337228236
