year;month;day;hour;NO2;O3;SO2;NO;PM10;PM25
2016;1;1;0;19.281546828689;30.3007183788395;3.62612475257752;0.442546733534366;13.1658008939439;11.1481526232637
2016;1;1;1;19.3476371528945;29.4333357686583;3.80054985917366;0.417060851080333;13.1660291557978;11.1321707407797
2016;1;1;2;16.7741919780692;31.8912434238428;4.13241897665013;0.375050364829603;12.6747270456917;10.6488364792767
2016;1;1;3;13.4001142453296;34.1147590177115;4.7660879937519;0.335335285447056;12.4776562415718;10.4534443323701
2016;1;1;4;11.7337735024384;35.7328815425717;5.35896522775679;0.325794981184202;12.3964607467997;10.4052446658898
2016;1;1;5;11.2096480387794;36.3241703382755;5.53780433090773;0.332617038650106;12.4768027021105;10.5243680437184
2016;1;1;6;11.3771019374129;35.5664546702883;5.411845619528;0.351105124469936;12.9347679234115;10.9812958726252
2016;1;1;7;13.2598652686739;33.9104069269069;5.31723960636369;0.500210983744864;14.2617944121071;12.1735412861312
2016;1;1;8;15.4048382293424;31.7029922314305;4.99999228249097;0.77309279786974;14.8461163362867;12.5909291881499
2016;1;1;9;19.7558595783773;36.6516843541831;6.75737963237526;1.68335434259091;15.9241100305962;13.3327215934287
2016;1;1;10;18.6332750801059;38.901291077309;6.18432003572938;2.69685326993366;15.901791883266;13.1216131293854
2016;1;1;11;13.666708724985;53.0339043791628;6.5547160813325;2.35296708689616;14.3553027243115;11.8060530240882
2016;1;1;12;12.9929532185319;53.3807984481882;6.03885642587083;2.58311798108254;15.1021719574373;12.6776624753688
2016;1;1;13;12.0181179645846;53.7702931069362;5.80934111457615;3.13281625634338;15.0566883405645;12.8009869371226
2016;1;1;14;12.4212541675684;52.1367979899878;5.98583092325921;3.65903151502002;14.3618459347294;12.0689671589957
2016;1;1;15;13.4936667745542;48.589761547646;5.95963779108894;3.91735604885374;13.2977087119457;10.9801616687832
2016;1;1;16;16.2254335737263;44.2256364863169;6.31522815262677;3.92450106770574;13.8331639476519;11.3407869761772
2016;1;1;17;19.2192062137583;37.7357309844228;5.68565664033306;2.72697824421381;13.0872424008999;10.8487592243023
2016;1;1;18;17.0935693897757;25.3323779730863;2.78663602365425;1.21073876887072;10.4888631113909;8.90310047907406
2016;1;1;19;16.7260197619063;23.3699957163935;2.59388394957147;0.907405627500532;10.2240260702047;8.91585738571621
2016;1;1;20;16.9089301727519;22.3178364677779;2.6549573181561;0.856070686768886;10.9400888348432;9.57564338932571
2016;1;1;21;17.2854108337173;21.1760244894776;2.7818536206986;0.802791679073859;12.0140617454467;10.598202315748
2016;1;1;22;17.1633058307443;20.5326387003879;2.85737130357248;0.783571115999784;12.7190453724779;11.2447775535429
2016;1;1;23;15.4501896723597;21.0675210610134;2.60607404201242;0.722982009532953;12.6333121741595;11.1593694285261
2016;1;2;0;14.755982286923;20.0727878763018;2.35870790817617;0.650177127432079;12.7162120833191;11.1918359024799
2016;1;2;1;13.7802792334108;19.2061335724247;2.10028551670905;0.519439195175811;12.857133135924;11.3515605804082
2016;1;2;2;15.1278199654802;16.4197579977099;2.21648536770232;0.571287198760949;13.9146880684393;12.3158310216809
2016;1;2;3;14.3751796105118;17.8670909178891;2.09892463347197;0.55182500298245;14.1888047977545;12.6114345633255
2016;1;2;4;14.9316174466213;17.0482170602781;2.12869471658425;0.607093344838996;15.2127999086815;13.6037829889801
2016;1;2;5;14.7649387935874;16.8341287576368;2.07960565825741;0.654003174697179;16.0122848313904;14.4038425631265
2016;1;2;6;13.6117146871932;17.3307288520164;1.94703220682308;0.695317452824891;16.5610849478526;14.93488177573
2016;1;2;7;12.4106648051668;19.3650500079912;1.81699663140137;0.818403878886103;16.2547184601181;14.5409844165556
2016;1;2;8;12.8010115785545;20.6476880038053;1.8850318801976;1.13379256108347;15.5070072338503;13.632377005024
2016;1;2;9;13.3314442977598;26.1011070534778;2.63369232525965;2.37411780453786;15.8265240912669;13.8144491401704
2016;1;2;10;12.8788214424815;27.4058074012373;2.66510319290678;3.70109844683662;15.5488120157088;13.3631479215524
2016;1;2;11;12.4513426974939;19.814638818616;3.22380369660825;4.23929220904453;14.9117411751831;12.6319763538163
2016;1;2;12;11.8431009634805;16.9198148824989;3.30382607031219;5.49425564617634;14.8953196443813;12.5053274402376
2016;1;2;13;8.74744508822424;30.0875591108252;3.28845745626258;2.78513704202474;14.3795846341277;12.3806547236427
2016;1;2;14;8.87608915621643;37.184946677371;2.7984197119204;2.21413660473456;14.1810954090715;12.5685337692971
2016;1;2;15;10.0541083850138;37.2643000901007;3.00977928026534;2.11538019021717;14.4356020470582;12.8964776635598
2016;1;2;16;11.5300095793468;32.6125118021992;3.51015492103062;1.90606189739935;14.0019205119302;12.6580017578704
2016;1;2;17;13.036558872992;28.4677579287518;3.57315992130865;1.34351839711632;12.6866899208267;11.8814256211408
2016;1;2;18;14.2764423609902;23.2267627353622;2.28041857697672;0.998907523613245;11.4131530892791;10.784996895552
2016;1;2;19;14.1681482777079;27.0084896669687;2.22463174642259;0.674807812842424;10.7403179683274;10.218304424825
2016;1;2;20;13.3588470644525;30.8115808422826;2.29845282087152;0.565837415714386;9.79004788348448;9.41748012905919
2016;1;2;21;11.5426572060785;34.5529009848633;2.5526998355494;0.427445312450938;8.21121304284134;7.917514643907
2016;1;2;22;10.4516828588876;36.0674619059864;2.52353130567314;0.433254049151225;7.06436154018775;6.82272816021623
2016;1;2;23;12.9441857699864;34.7113839893609;5.61597779235207;0.504876066141168;7.7539104026414;7.4980581743489
2016;1;3;0;13.8871620810013;31.1481649362122;8.17802539302993;0.519597284289791;8.48419468013617;8.25815771321459
2016;1;3;1;12.7168936099621;35.9623655299401;8.10678347612582;0.407430739188149;8.46010195232338;8.24663537457582
2016;1;3;2;10.2739181088674;43.3531504029361;7.53076662062899;0.31299059354259;7.11090386573687;6.92580348626848
2016;1;3;3;8.35572613861645;48.8774176687912;7.481782329827;0.268143189835576;5.99295635339558;5.8210165576611
2016;1;3;4;4.60462388422518;55.2000258835506;7.39479963960587;0.182499502487168;5.59812018963157;5.46758771591271
2016;1;3;5;4.27323143940326;56.1242430308084;8.21170174112506;0.198616839932437;5.50397416532178;5.37763567010074
2016;1;3;6;4.60998352302552;54.9167857855082;9.3718822999473;0.222293920594277;5.91354787360387;5.77231551446289
2016;1;3;7;4.76760674703753;57.1081741895796;11.0853273352558;0.270937176130325;6.76950273614807;6.60315935263611
2016;1;3;8;5.53976112911142;56.2380435553678;12.166764622394;0.361038090529467;7.60798624099834;7.4052510790068
2016;1;3;9;5.19289901073376;57.4934517771908;10.755145131299;0.486835495718203;7.62346985538898;7.41539363247057
2016;1;3;10;4.76685442764952;58.4165142925031;11.3239258345863;0.642420932189345;7.09126002362837;6.88846002461219
2016;1;3;11;4.8899503524349;57.7275578450553;13.2692629966788;0.813764890883833;6.50107656596788;6.29691543352351
2016;1;3;12;4.89462645048202;56.2303910101036;13.663785595932;0.967637026199828;6.36381303209532;6.15912165713439
2016;1;3;13;4.85958500973232;56.5976350230812;12.5809197175892;1.00380849379433;6.04178262975097;5.84635628797514
2016;1;3;14;5.10101372656378;57.1962637252454;12.352916811519;0.996960341934395;5.72985126012782;5.62643975854371
2016;1;3;15;5.89046890720497;56.0304442842607;11.8561673780694;1.01372318685645;6.05738881276352;5.92840532220862
2016;1;3;16;7.55823701904793;52.4272536495118;11.5321486319631;1.02206785567495;6.69045707724081;6.52840137504995
2016;1;3;17;6.64895756892834;53.0638715190435;11.4233805513489;0.507309697160234;6.86644341385545;6.63932953059998
2016;1;3;18;13.5301016194977;34.3906236821567;8.04348387582265;0.685641554615326;8.38610869635659;7.82138531718601
2016;1;3;19;13.7147102682394;32.4607682955502;7.86415252167431;0.531334951099482;8.91765772337294;8.2447275673303
2016;1;3;20;12.4014221454169;31.3938031126781;5.97714241169016;0.455612791883247;13.4608990620677;12.8925492504095
2016;1;3;21;12.1377758067492;28.2082819325069;3.52232546729155;0.466931183382984;18.6284037084761;18.2128996328856
2016;1;3;22;14.2328426503627;26.358256022263;3.37882992320595;0.553753184896945;24.2946978090686;24.0565452003239
2016;1;3;23;13.6183896112441;25.9403556412963;3.90029542309478;0.531138550985244;23.2404779865192;23.0554348945589
2016;1;4;0;12.4234907468777;30.6374552394573;5.90164224219356;0.444357456067764;17.5808470004313;17.4152248177961
2016;1;4;1;10.5677531734965;28.9850223822441;2.91657715193414;0.393768731946373;19.4631972760817;19.2123756903584
2016;1;4;2;8.7012946242767;34.2681438780801;3.80258141093928;0.340604449604421;18.4511677048249;18.1501054186128
2016;1;4;3;8.81277120537644;35.6773917076225;4.34757957334472;0.351928274552252;19.0727682536362;18.6768449594865
2016;1;4;4;8.93198326009327;36.0452041547887;7.41511578273987;0.367363939213355;14.1640912332264;13.751357386127
2016;1;4;5;8.96425062923957;37.5290234444492;11.7383311208856;0.419398202783485;9.26923604538388;8.70273542119548
2016;1;4;6;10.3932609279023;42.5509405488356;16.6640072632803;0.476670898651695;10.5607860234613;9.90927251365292
2016;1;4;7;12.058072407568;43.3123616971898;16.5294707498951;0.635076017820198;10.8887672212177;10.0895043431137
2016;1;4;8;14.9746541913862;41.5579606283245;16.3693922266882;0.922513381838745;10.9988675944805;9.96301530165056
2016;1;4;9;9.71922606131522;53.2359862859266;18.6078933169688;0.929226147399669;9.77276126690185;8.83972539611477
2016;1;4;10;13.8329636676638;43.5354827743595;17.099312263464;2.26113683055721;12.0965770733505;10.6720383641346
2016;1;4;11;13.8069424174997;42.9099635823604;17.584696766008;3.05059994998413;12.0689040983279;11.0107603035203
2016;1;4;12;14.4686251507489;42.0395345201996;17.650583342328;3.7393800995528;12.1930723295804;11.2228342175058
2016;1;4;13;10.1005220758352;53.2155901566966;20.529678739473;2.26838415050836;10.2011323832585;9.4260830252324
2016;1;4;14;12.5536165274343;50.4662729383654;20.4145970863458;2.7346996930751;10.9035029893789;10.0170582939541
2016;1;4;15;13.2160999798516;50.2263333146402;18.3214320084606;2.49779969498067;10.1800790019979;9.31524990477328
2016;1;4;16;12.5942808338582;50.0470171971301;15.6310545102135;1.82312533039208;9.02958774418039;8.34061530952113
2016;1;4;17;14.1373405440334;45.1988100280687;14.3488826454455;1.33091515087804;9.62587076713817;9.01519303653231
2016;1;4;18;19.2539300840214;31.5049035748416;10.7823271438084;1.02847662500619;10.523558913178;9.73147074034841
2016;1;4;19;13.9104101086811;37.6107927024805;8.20103609435553;0.71234643287972;8.33041546854929;7.87924925305106
2016;1;4;20;11.0714547790971;40.4458226910265;6.0589536517887;0.562196520979888;7.11852843338079;6.7972987238818
2016;1;4;21;10.1691572095281;38.5932139579381;5.03967947186308;0.472945352872365;7.15039449872279;6.77296796425253
2016;1;4;22;12.5598414184427;32.5453726190972;4.81487744823153;0.455106754443532;8.72528627127167;8.1757294267959
2016;1;4;23;14.8427401663249;27.4177640591233;3.78521158079542;0.497074361444651;14.5635734583038;13.7396067856344
2016;1;5;0;14.7267437250645;28.2878254154184;1.77579000017993;0.466129697877146;20.0168095432218;19.2956921551968
2016;1;5;1;13.8307287865925;32.67484061098;1.27928075019027;0.389663675391232;21.1425419394118;20.6180992279315
2016;1;5;2;11.4655682441385;36.2199870096447;0.847581316556145;0.334891542316703;19.1341520405786;18.6344184527343
2016;1;5;3;12.5723625264512;30.976824660911;0.851978503396142;0.358515759335459;20.9187476229999;20.1761203300066
2016;1;5;4;14.0766158024609;24.7760567617661;0.965617413884371;0.375687808654122;21.8697593368233;20.8553085911944
2016;1;5;5;17.2516974150024;20.3001562226746;0.557610374149905;0.417738613166189;26.6732271825276;25.3871821342955
2016;1;5;6;20.7340463048127;21.9145661617404;0.302175127642972;0.47978983628964;30.4614395929548;29.0831785321188
2016;1;5;7;21.6477509383303;23.5033539297547;0.26008152986499;0.642199441311615;31.0802121816778;29.7590077025234
2016;1;5;8;20.1073540651763;21.8135767227068;0.296995683132756;1.00617014027814;26.053498913825;24.7019542598537
2016;1;5;9;20.4816779640135;27.3675357931324;0.56344369702003;2.8504380900517;23.4090471451509;21.9534399548138
2016;1;5;10;16.1633527891936;29.9280067395102;0.768193255485923;4.94602308679888;21.9739622053794;20.3604137993807
2016;1;5;11;13.8147110067557;41.8088390574667;1.84093475987613;5.10722525506568;16.8489879825984;15.4325530132837
2016;1;5;12;11.690614484545;45.8374245226878;2.6090212932192;4.30794026109759;12.8066597326892;11.6097593760855
2016;1;5;13;9.9074502585379;50.703331311297;3.58657110270725;2.98763037030889;8.31276647517143;7.44734895974375
2016;1;5;14;11.1628395076471;49.7325345349964;4.21027062978677;2.57732101108513;8.27197155217618;7.42784722618239
2016;1;5;15;14.3793521810227;44.9809895997078;4.84793738799383;3.02350580150213;9.12092623650551;8.10595413014426
2016;1;5;16;13.8770363375454;44.7307009210363;3.77103106175159;2.08395049623538;7.99991983768678;7.45410311253636
2016;1;5;17;14.6464408479059;42.1189838561986;3.12414413587918;1.36099582698265;7.51552597932914;7.1396693002157
2016;1;5;18;14.4806520715296;33.5398162576439;2.23011968829192;0.716155729897192;7.50376560887389;6.9531846946802
2016;1;5;19;13.2910194428793;35.5396032603039;2.33621244415566;0.543016206951251;7.26821269836364;6.755893178223
2016;1;5;20;12.4645940477978;35.7397205164034;2.18658299604373;0.440795709714106;7.02520575046606;6.65232224861256
2016;1;5;21;12.251427830594;32.1068007735903;1.8924126741392;0.3935953115107;7.15623516001074;6.75517242143542
2016;1;5;22;12.9753212635749;25.6338470450146;2.01837638934101;0.395479195249649;7.9504447469958;7.49747552930558
2016;1;5;23;13.9860513228146;19.421914743134;2.17939391103568;0.404389184925611;9.32584409696346;8.48950332255072
2016;1;6;0;15.2773684928554;16.7452345323227;2.02285074449969;0.405405066679503;9.99716309735277;8.99367780249349
2016;1;6;1;15.6221328628718;15.0347663208095;2.0713842222059;0.41004055927886;10.3269135465212;9.27470900080607
2016;1;6;2;14.8873613670469;17.7442167625941;1.84305481674485;0.403956481731194;9.5496650587279;8.35925018094485
2016;1;6;3;11.9931292430614;24.5753994931874;1.30859055985566;0.363734222846593;8.19183654243716;7.12317360651582
2016;1;6;4;10.1906781292674;28.7390502506923;0.91384873064746;0.358421833360122;8.20553758273945;7.33804927932624
2016;1;6;5;10.0231367713823;27.109857470009;0.939685184124888;0.407088535782055;9.09140762672678;8.36140223725579
2016;1;6;6;10.476390522039;23.3291519435852;0.956278796368152;0.476672698265077;10.9616218324504;10.2175068406041
2016;1;6;7;12.1809501087837;20.3073273752352;1.1151231737692;0.659619906492832;13.9705544910385;13.0095907380223
2016;1;6;8;14.4250908222804;17.3449219431632;1.6157555731551;1.03160691405162;15.7632022990128;14.5150025332441
2016;1;6;9;18.0756484774691;20.0907894765123;2.34077968276175;2.5789154685412;19.3362037492761;17.7792980338154
2016;1;6;10;17.0332853409373;20.2295087348148;2.24311414513268;4.26836897774582;22.286743117661;20.4204386733409
2016;1;6;11;16.0370157773834;21.2678212818673;1.99775970414316;5.4828394526109;21.9981277638226;20.4391437108598
2016;1;6;12;14.8010399347843;23.3391137527406;1.93545179882904;5.61351851674482;19.240573578827;17.9649735088105
2016;1;6;13;9.0394460559254;34.4873711810578;1.27857278755027;2.71752473668867;15.2338994752199;14.3729055324116
2016;1;6;14;6.63737686015484;44.6575114665393;1.14545610868108;1.53676282007362;10.8918243313383;10.4135056133714
2016;1;6;15;8.45626012383219;42.6815809362324;1.27193678125182;1.85627157867628;9.32870936054542;8.85244855197698
2016;1;6;16;7.92625960617142;42.5576907048253;1.67041028896299;1.41156607045893;7.74011077453451;7.55405871188941
2016;1;6;17;8.79634160284989;43.3966498292193;3.1038639577164;1.01766558604826;6.10546413426505;5.98304561449936
2016;1;6;18;9.19299478266501;44.232383089593;2.95301623529674;0.641603423202821;5.80657788518124;5.69742386602456
2016;1;6;19;8.83052798081886;44.2415348800296;2.52245345112261;0.531032166148034;4.27937063562922;4.1816572426967
2016;1;6;20;8.66950361086029;42.5143404925166;2.41774049919821;0.4829365987191;3.92814403227248;3.85218656973052
2016;1;6;21;8.13037761186441;43.4695159867715;3.93024048361052;0.40554785907974;2.23127782916777;2.16948281561713
2016;1;6;22;9.35489968897276;40.6842310951561;6.50350946804799;0.397586507911508;2.13823558858905;2.08596429018826
2016;1;6;23;14.4060569719401;31.3463281997883;5.5071790633276;0.469334428622261;2.3969528584189;2.34703168011663
2016;1;7;0;15.8201660821828;25.7995580454917;4.18378258485249;0.539471453100869;2.43813369493751;2.38233566207668
2016;1;7;1;18.0502496314939;20.5147401288741;4.45057230505872;0.813888510479966;2.8150972664065;2.74695421964566
2016;1;7;2;17.3591585125966;18.4256006008354;3.72527267249863;0.847591116162664;2.98575364432452;2.89848745005372
2016;1;7;3;15.9348667679284;18.4233019950852;2.33096703128791;0.835244453263063;3.35762351255653;3.28025007156896
2016;1;7;4;14.8549946509837;18.6634867560542;1.89062709150284;0.835646666853842;3.86795839801835;3.79648490422824
2016;1;7;5;13.7344820029456;16.6061742135071;2.34795125439251;0.987125454804159;5.26544585710553;5.14570652754287
2016;1;7;6;13.474074203946;15.4964556742243;2.88665429587889;1.14150390442347;7.42723083035912;7.21045356755212
2016;1;7;7;14.7627803332214;13.0185178193187;2.57415434820724;1.38851343833652;9.63986579449738;9.06723496285622
2016;1;7;8;17.8946061283094;11.0872608871659;2.84444518017704;2.22083144337756;12.1433609834298;11.0979430090197
2016;1;7;9;17.9260863641908;22.7232170857405;3.72458495970112;4.18581074484407;13.8268925198304;12.3672627694305
2016;1;7;10;15.4640201217862;30.1158848969862;3.52328432469817;5.4873096922507;14.5935086237614;12.7435511032559
2016;1;7;11;11.6863468127119;36.7182764193785;4.72758045543582;5.12050529436722;14.3655594087022;12.0212160226174
2016;1;7;12;11.3629980716852;36.6008627850078;5.79687721924561;7.35003191587729;15.6503290327237;12.7560007001648
2016;1;7;13;11.5657872062244;36.3708778650107;6.26944318056899;7.86447714931132;16.4199391861075;13.2100499428134
2016;1;7;14;14.2616235371082;33.7590009280575;7.98620762635168;9.87306551283063;19.1170457242151;15.0893093575633
2016;1;7;15;17.6125356067061;29.7244184821466;9.0622007550638;11.6201988458231;21.5658655378093;17.0324732096105
2016;1;7;16;18.6742161993069;25.4169894020606;7.15484197710211;9.93837874285586;20.2932692872082;16.5726614653749
2016;1;7;17;19.8408478938915;19.2964879630608;5.22739817003886;6.52779686774954;17.6906471693883;14.6790863908564
2016;1;7;18;23.6542886404161;17.0900147367092;2.96042501936811;2.03155350674502;14.0974183437947;12.9666526405003
2016;1;7;19;22.3465214889941;22.4890168709635;2.7385962042704;1.0574441710184;13.3443922578635;12.6446471071517
2016;1;7;20;19.9965932913498;24.3953106604522;2.3435672807702;0.877039297379552;13.663578712908;13.1084547660976
2016;1;7;21;16.9882209001243;28.4697119212751;1.95018383288805;0.663393764969867;12.7468169353051;12.3071144386699
2016;1;7;22;11.648741032739;38.2546758714852;1.54936110889371;0.467988906147997;10.0203250141817;9.68236602005845
2016;1;7;23;8.82084038274013;40.1396889060379;1.38159311847044;0.426143430601177;9.86143078307578;9.54819689980013
2016;1;8;0;8.96377936822338;39.5246146922545;1.21826453463599;0.382313050710393;9.90892790042608;9.64951585302742
2016;1;8;1;9.24440044378226;36.0324463599682;1.22692646340023;0.383594237006267;9.76860548007608;9.54456869095566
2016;1;8;2;9.57902973003429;34.095961609637;1.20733509262104;0.389128844137412;9.29943855254578;9.05652086657938
2016;1;8;3;9.97417402547866;33.9615482403133;1.43503800392038;0.3899694020184;9.01915875317627;8.65859917098533
2016;1;8;4;9.42596075550035;33.5207914758939;1.12301513941044;0.324366088159242;8.31711677307112;7.71786368147787
2016;1;8;5;9.47476981087435;35.580615787012;1.29212204316446;0.311205273244231;8.42373193421508;7.73759101235783
2016;1;8;6;9.48921587153817;36.8730468380818;1.84840812452626;0.337621625032431;9.34859034629199;8.68693561528744
2016;1;8;7;13.4083065449408;34.3465735852533;2.95993026645967;0.616719269169273;11.8974750051848;11.3189866368657
2016;1;8;8;18.7303429617756;29.2244699551247;3.64577976571883;1.05537987603795;14.0157565553523;13.2726567514396
2016;1;8;9;19.6672981703297;27.8921810092925;3.62891375791093;3.05790776463126;14.9195003018576;13.9043194735677
2016;1;8;10;15.0101966123153;32.2978266353857;3.44085511257239;4.3946794111801;13.8172655539393;12.6074439776858
2016;1;8;11;12.5864239362316;34.8309860953577;3.76596813202042;5.05300096583403;11.8617213828998;10.3946975471558
2016;1;8;12;11.1997082523731;35.0387203695846;3.33064937132602;4.79108634173589;10.551526763436;8.97255958420828
2016;1;8;13;10.7086814453107;35.3130822361436;3.07050816697346;4.10151103991617;9.78595604550492;8.22777224129823
2016;1;8;14;12.5423589084205;34.2788162299712;2.7767453438298;3.82613558458754;10.1514956440951;8.92587159739833
2016;1;8;15;12.9739499364737;36.0908956054118;2.45592560372883;3.24135287743056;9.41400202236764;8.39150171572101
2016;1;8;16;14.447801357666;38.1863500820145;2.15689015943485;2.21965158915825;9.1897796039575;8.26443091739293
2016;1;8;17;16.5317056835879;37.2638524481772;2.09208268862091;1.47847749559879;9.06656882904144;8.13884781791785
2016;1;8;18;15.9000545892947;28.7773165297267;1.20726011347452;0.77046439331007;8.65548877015954;7.73131603182264
2016;1;8;19;15.4184156413223;24.4203590682446;1.53692223267359;0.677568696633337;10.0057535590281;8.98870577970001
2016;1;8;20;17.1758999629823;21.6073186010135;1.69691928740224;0.691271229784147;11.0230091721064;10.0741175401708
2016;1;8;21;14.9186768738524;25.4011229827711;1.34185589087751;0.577381935557105;9.46958333969405;8.60387228129866
2016;1;8;22;11.2764227528571;30.9673175991065;1.06533780232564;0.502859564739178;7.86041631783974;6.97583324438256
2016;1;8;23;10.395718278138;33.9289840667334;0.872123031069645;0.448181253816137;7.32604199527032;6.45905151586135
2016;1;9;0;10.3261278856285;32.698245888696;0.753779042313886;0.39322538713694;7.13320780221238;6.26337737230642
2016;1;9;1;9.4762362392977;32.6309042009143;0.693520358512115;0.3032389731392;7.0349326364294;6.15492057320921
2016;1;9;2;8.49942168908245;23.3511272540454;1.12928273930805;0.334111859819141;7.13597314572212;6.02504046653962
2016;1;9;3;7.41735120318116;24.8899461041674;0.953133346896061;0.300044209483583;6.97382107617273;5.82891290790144
2016;1;9;4;6.55888388003411;25.6213059657284;0.800059783681466;0.295003561617727;6.49067688485161;5.44670486490872
2016;1;9;5;6.2171928960503;25.4830538892747;0.749706712985673;0.306839411180562;6.36289465560935;5.23876630964537
2016;1;9;6;6.30463219340809;24.7193749913777;0.808752673594841;0.339480279576088;6.59564403093782;5.1865232109094
2016;1;9;7;8.27204122068764;19.2433446954965;1.19686795685571;0.563967375155295;8.19130008267166;6.38337738223527
2016;1;9;8;10.9299992044161;15.3024792837186;1.63641729275169;0.971086054461491;9.82581660480264;7.4941990391153
2016;1;9;9;13.2466691111017;17.823877485057;2.30901401285506;2.05782869270662;11.8116973979454;8.90927953633991
2016;1;9;10;11.6151617748179;17.2383352037286;2.31950108572401;3.24713489679372;12.6031798330928;9.24733800644617
