year;month;day;hour;NO2;O3;SO2;NO;PM10;PM25
2016;1;1;0;10.1604656279755;51.2396631791034;2.47730709185815;0.478720900548942;5.48812417733302;4.71979788585486
2016;1;1;1;8.33388764839058;50.0193024777218;2.50116515917958;0.331997071840158;5.41085176664069;4.60966687043651
2016;1;1;2;7.15546338985499;47.340890318992;2.66811236641183;0.280518992628779;5.44825828896478;4.62379468046947
2016;1;1;3;6.56609459814127;45.6939837079062;2.91220130952271;0.248847337167048;5.42999645247733;4.59882087966434
2016;1;1;4;6.29635328366424;43.33156056191;3.06764097692;0.255065364783815;5.61728974446396;4.76541028859856
2016;1;1;5;6.86651373109378;42.4139265930989;3.33811601209022;0.289114101874893;6.00190785959853;5.08770803264724
2016;1;1;6;9.13632118759382;39.3296311074209;3.9773048704271;0.402569049029909;7.03942104607336;5.96239457806291
2016;1;1;7;20.6452335575564;28.4481576073858;7.48832732911133;1.34142447773097;11.9801386588847;10.2998054529735
2016;1;1;8;33.2899732849047;14.1234322015293;10.9076203468511;4.00900703601353;17.5434387017503;15.0922190300662
2016;1;1;9;40.6213715734467;12.6690267165941;14.2577642962729;8.49806897060302;20.8388382105795;17.8860339872244
2016;1;1;10;36.5482430807904;16.211604503269;16.4006686166168;14.3969579953977;23.6286759047744;20.1610887984316
2016;1;1;11;29.3179884448689;24.6009310700401;16.8378425443484;11.5178157950465;20.8668673451484;17.4502456928849
2016;1;1;12;26.8062249686706;27.6942699883875;17.2918318161894;9.05780521244262;19.2932354536879;15.8162443142373
2016;1;1;13;24.2565330472992;28.6834804796854;17.958995167358;8.53344383241259;17.709398392185;14.4100020804672
2016;1;1;14;23.2143312433674;27.5907936497788;19.5974316586895;10.4907404459214;18.4385324786263;14.9273660099425
2016;1;1;15;22.9907055789611;28.3407590728757;18.6966173372748;10.976906277814;19.2926901121382;15.4615715786122
2016;1;1;16;27.0310801573138;24.0823521124867;18.0128037681256;11.5760723257072;21.0411101875252;16.929636359464
2016;1;1;17;36.8171930164078;14.8617571582577;18.4404904491882;13.6473763849831;23.2723049720107;18.92821721583
2016;1;1;18;40.698162494636;2.67794209030114;16.7514540579996;17.8039517182848;25.8472496739159;20.9779145166067
2016;1;1;19;41.873832211304;1.3150232014425;17.7551557181258;15.4768190505035;25.3506140523996;20.7941379670729
2016;1;1;20;42.2408282136193;2.71834199594423;17.2043074622277;10.4978802043651;23.3678285610495;19.431659836755
2016;1;1;21;41.6812656197808;6.71470390400941;15.2736552669928;5.40168574873757;21.284991547077;17.8982695331342
2016;1;1;22;38.9507504219382;16.2057247621306;13.3556552358942;2.39788682121793;20.0003924533121;17.047234734946
2016;1;1;23;34.6713811262187;24.4990836506531;11.0824826624017;1.40981380075248;18.3542034903894;15.6862789424395
2016;1;2;0;28.909079931276;31.72266360707;9.05281921413628;0.715507038489038;15.7653854415685;13.325577974399
2016;1;2;1;23.207271668433;37.4298885219559;7.68670635749567;0.332062515472937;14.0773250834059;11.9194538683587
2016;1;2;2;20.2952776742914;40.4973512502238;7.14851652051167;0.259423336234966;13.0071242665508;10.9795381675326
2016;1;2;3;16.7415382598016;46.5076119837704;6.50269884887057;0.216422474289233;11.200174121484;9.33110655410019
2016;1;2;4;14.3112103854386;49.8393539771769;5.76223450801074;0.220738397081564;9.76618341752555;8.04352140448827
2016;1;2;5;12.3235273695951;51.1071718278799;4.57793802866036;0.239936309252596;8.92557672216299;7.3135977274319
2016;1;2;6;11.9944173565056;49.3975278459402;4.00647433852001;0.309590916217121;9.08817110456539;7.46945882923455
2016;1;2;7;17.7157205412777;40.8774738502871;5.11758491608711;0.854843350442661;12.2426504489681;10.173049069806
2016;1;2;8;25.147365812831;28.4591177290849;3.50253378725961;2.00069138313742;14.1814338050494;12.3403784968446
2016;1;2;9;26.4231500499544;30.6732239607754;4.09477647407661;2.99865092579398;14.0543878757171;12.457042508629
2016;1;2;10;21.7789975558983;36.0497232065882;3.30515708698622;3.42461996693689;14.6241907472699;13.2618742654245
2016;1;2;11;19.5586415132565;33.8130767829625;3.35400439815869;4.43118636823847;13.2016859666351;12.1175354195202
2016;1;2;12;18.0956808916924;32.5660991506993;2.82345008093418;4.96324344881525;11.6771312619335;10.6676898425917
2016;1;2;13;17.8455729055331;32.0665591857505;2.73082777048682;5.36304334275428;10.9877218434917;9.98459448453559
2016;1;2;14;12.5750780088472;40.7513773836854;2.84449334196459;2.73634343225146;8.1123312511977;7.37237471071239
2016;1;2;15;13.4053609513099;42.2788133391805;2.94203003117503;2.39609634433508;7.56553930614245;6.95517909932164
2016;1;2;16;17.6589976973076;47.4279318041226;2.43383326012487;2.12280996327885;8.54333581656874;8.00491406494075
2016;1;2;17;14.4459553730728;49.6266849836502;1.91816844098554;1.09392752545511;6.34589802928076;6.01759220231202
2016;1;2;18;22.0484535664088;41.0014493468225;2.4732077106168;1.27938723621918;6.15876416532046;5.74486236359917
2016;1;2;19;19.0889309882668;45.3089086249747;2.59809419674584;0.837069261231966;5.40695621609188;5.03648456273709
2016;1;2;20;15.2595183143287;49.8109677948833;2.53452032444477;0.696125963744508;4.78939776726861;4.45477432720054
2016;1;2;21;6.3694382252046;63.008592121605;2.02363869010829;0.153482259459265;1.94954608012665;1.75923087208929
2016;1;2;22;4.95788623667406;63.2887804385973;1.6964639395927;0.162949281388745;1.72765657335816;1.57132273859162
2016;1;2;23;3.55408649185982;67.0081021780788;1.39034120679617;0.117828345099721;1.03369146575716;0.919277098887505
2016;1;3;0;2.1150217757328;68.6898644630674;1.05197939561308;0.0697054719985167;0.506294228763693;0.422805679356486
2016;1;3;1;1.37225794780908;69.5899444735915;0.851955595273169;0.0446331718467212;0.298146257682319;0.237756758725283
2016;1;3;2;1.24395639317258;69.174639349967;0.901273422090859;0.0358381368014999;0.212305381608324;0.167575467391323
2016;1;3;3;2.74852904404656;63.4772305829756;0.978566367218062;0.0373725018789982;0.185142262631999;0.149718792918918
2016;1;3;4;2.10808044061192;62.0475404389254;1.0710930577528;0.0365727424446485;0.166231986509224;0.137321737314622
2016;1;3;5;1.83421049752955;63.7489492305576;1.3783534564107;0.0442163796571539;0.198297392395297;0.17194573542767
2016;1;3;6;1.82635190166499;62.4955376338221;1.95950532795058;0.0562077962796391;0.294357677121937;0.266215854916041
2016;1;3;7;1.89706037154939;61.8597866264281;2.3823089041381;0.110974534840018;0.456728321829303;0.423777624103394
2016;1;3;8;2.18414303002349;64.3752144924292;3.46020020148345;0.16980790215345;0.557405066548;0.518925846737517
2016;1;3;9;2.11856175262738;62.1821882873519;2.72514905790059;0.225908755542691;0.614931883191616;0.573724234786965
2016;1;3;10;2.37522557390518;62.6033056505548;3.54046338412512;0.304719743480679;0.607153161080731;0.566138136370853
2016;1;3;11;2.09220085488399;64.8821725235393;3.1506077871808;0.315825780601392;0.654816811884729;0.611893535840125
2016;1;3;12;1.9452886295629;65.7811085602589;2.96691872947609;0.340353334321793;0.693047286226545;0.648127662650211
2016;1;3;13;1.99663612603221;65.8180212553816;3.75744975040219;0.37260084876165;0.73619016438542;0.69015937409489
2016;1;3;14;2.52125811199605;62.7221936611022;8.12816605884122;0.476652521830434;1.15652643017938;1.09686015825616
2016;1;3;15;2.78501186421064;62.1191702521173;11.0411773620636;0.484605151795355;1.4625184396877;1.39204692217731
2016;1;3;16;2.68718954035563;62.1606730533131;6.80248283367426;0.444262526461887;1.66023061964893;1.5817093190762
2016;1;3;17;3.21990320533528;61.5307698126344;7.26585427192046;0.439059498096295;2.30266894440945;2.20731033451216
2016;1;3;18;3.75049343610549;62.4216838218672;8.04841201509647;0.319095332036193;2.57760590649525;2.47046960666353
2016;1;3;19;3.94639281949994;61.7255793144977;7.56796878685922;0.196950449853035;2.90802693037051;2.80096723592749
2016;1;3;20;3.95560491096775;61.5974116158213;7.66021111956716;0.163709462306682;3.18846615776636;3.07666869758805
2016;1;3;21;4.28963259644506;61.3634725254997;7.85658987007389;0.128065419864775;3.39191008613682;3.2832454532894
2016;1;3;22;5.022153502498;59.3624278621974;7.54344130196476;0.119376280819475;4.5430756934195;4.42828396174377
